id_transacao,id_conta,data_e_hora,tipo_transacao,valor,canal,descricao
TRX001935,CT-00003,2026-01-31 20:58:00,deposito,99.78,agencia,PIX QR CODE
TRX001157,CT-00450,2025-01-09 19:33:00,pagamento,197.88,caixaeletronico,PIX QR CODE
TRX001567,CT-00947,2026-01-28 00:00:00,ted,154.98,agencia,AMAZON MKTPLACE
TRX000226,CT-00803,2025-01-08 00:00:00,pagamento,,,IFOOD *IFOOD
TRX000697,CT-00496,2025-10-10 00:00:00,deposito,152.85,app,RENDIMENTO POUPANCA
TRX000498,CT-00173,2026-05-23 08:50:00,saque,-114.98,agencia,IFOOD *IFOOD
TRX000794,CT-00788,2026-10-07 03:27:00,saque,270.58,app,RENDIMENTO POUPANCA
TRX000743,CT-00812,2026-07-07 00:00:00,ted,408.06,aplicativo,UBER *TRIP
TRX000351,CT-00538,2026-04-13 00:00:00,pagto,14781.39,app,FOLHA PAGAMENTO
TRX000114,CT-00531,2026-07-04 06:05:00,deposito,3395.6,,TARIFA PACOTE SERVICOS
TRX000079,CT-00732,2025-12-14 00:00:00,boleto,150.36,agencia,IFOOD *IFOOD
TRX001420,CT-00116,2025-12-14 00:00:00,doc,5848.44,internetbanking,IFOOD *IFOOD
TRX001468,CT-00570,2025-02-12 20:08:00,boleto,14746.09,atm,NETFLIX.COM
TRX000709,CT-00434,2026-03-01 00:00:00,deposito,170.8,agencia,POSTO SHELL BR
TRX001479,CT-00053,2026-05-02 00:00:00,depósito,787.63,agência,FOLHA PAGAMENTO
TRX001613,CT-00385,2026-10-08 00:00:00,pix,48.26,agencia,AMAZON MKTPLACE
TRX000459,CT-00700,2026-10-05 10:40:00,debitocartao,319.34,agencia,TRANSF ENTRE CONTAS
TRX001825,CT-00628,2026-06-15 04:16:00,ted,15.65,internetbanking,TRANSF ENTRE CONTAS
TRX001695,CT-00782,2025-09-13 07:45:00,pix,14.95,agência,
TRX001250,CT-00730,2026-01-31 00:00:00,saque,248.71,aplicativo,FOLHA PAGAMENTO
TRX000873,CT-00481,2026-08-02 00:00:00,pix,-120.13,internetbanking,PIX QR CODE
TRX001321,CT-00493,2026-04-28 14:07:00,doc,-3807.56,agencia,FOLHA PAGAMENTO
TRX000974,CT-00344,2025-12-21 20:21:00,deposito,201.82,app,TARIFA PACOTE SERVICOS
TRX000424,CT-00558,2025-12-21 00:00:00,boleto,504.92,atm,SUPERMERCADO BOM PRECO
TRX001837,CT-00858,2026-03-15 00:00:00,pix,-29548.0,internetbanking,RENDIMENTO POUPANCA
TRX000871,CT-00571,2026-04-22 00:00:00,pix,223.02,app,NETFLIX.COM
TRX000287,CT-00575,2025-08-15 00:00:00,boleto,67.57,app,PAG*MERCADOLIVRE
TRX001795,CT-00183,2025-08-09 07:46:00,debitocartao,254.6,app,IFOOD *IFOOD
TRX000244,CT-00720,2025-11-13 00:00:00,pix,-262.29,app,TRANSF ENTRE CONTAS
TRX001540,CT-00285,2026-01-19 00:00:00,saque,97.93,agencia,PAG*MERCADOLIVRE
TRX001665,CT-00752,2026-01-11 00:00:00,ted,122.09,app,SUPERMERCADO BOM PRECO
TRX001409,CT-00286,2026-12-06 00:00:00,deposito,128.39,agência,
TRX000532,CT-00043,2026-04-27 21:19:00,debitocartao,1725.97,app,PIX QR CODE
TRX000852,CT-00101,2026-01-19 21:05:00,compradébito,274.26,app,UBER *TRIP
TRX000201,CT-00194,2026-05-02 00:00:00,pagamento,646.2,app,PIX QR CODE
TRX001782,CT-00752,2025-11-23 00:00:00,boleto,1166.49,app,SUPERMERCADO BOM PRECO
TRX000874,CT-00462,2025-08-11 08:42:00,pagto,700.53,agência,PAG*MERCADOLIVRE
TRX000824,CT-00829,2026-03-02 04:10:00,boleto,21293.06,aplicativo,PIX QR CODE
TRX001032,CT-00130,2025-08-20 00:00:00,ted,262.1,agência,POSTO SHELL BR
TRX001704,CT-00892,2026-05-21 00:00:00,pix,29.47,agência,FARMACIA SAO JOAO
TRX001857,CT-00934,2025-10-13 18:19:00,pix,-248.97,app,
TRX000803,CT-00093,2025-09-17 17:24:00,depósito,9324.62,agência,PIX QR CODE
TRX002012,CT-00366,2025-09-21 00:00:00,pagto,210.63,app,FOLHA PAGAMENTO
TRX001990,CT-00042,2025-07-12 17:55:00,débitocartão,42.73,caixaeletronico,
TRX001536,CT-00018,2026-12-06 15:13:00,pix,1390.14,ib,AMAZON MKTPLACE
TRX000085,CT-00407,2025-10-09 00:00:00,pix,-26.6,app,RENDIMENTO POUPANCA
TRX002007,CT-00588,2026-11-06 00:00:00,débitocartão,11357.75,app,FARMACIA SAO JOAO
TRX000222,CT-00119,2025-12-02 08:45:00,pix,-98.5,app,TARIFA PACOTE SERVICOS
TRX000583,CT-00772,2025-11-16 00:00:00,ted,66.88,atm,PIX QR CODE
TRX001049,CT-00947,2025-08-27 00:32:00,compradébito,263.18,ib,POSTO SHELL BR
TRX000683,CT-00248,2025-09-13 00:00:00,deposito,1997.66,caixaeletrônico,TARIFA PACOTE SERVICOS
TRX000741,CT-00543,2025-04-09 00:00:00,pix,553.61,internetbanking,RENDIMENTO POUPANCA
TRX000416,CT-00707,2026-06-13 00:03:00,deposito,291.6,app,PIX QR CODE
TRX000837,CT-00106,2025-09-26 00:00:00,pix,-120.94,caixaeletronico,POSTO SHELL BR
TRX001516,CT-00554,2026-09-03 00:00:00,boleto,901.43,,FARMACIA SAO JOAO
TRX000130,CT-00383,2026-07-31 00:00:00,saque,-4898.42,agencia,AMAZON MKTPLACE
TRX000822,CT-00270,2025-12-21 00:00:00,compradébito,-340.73,app,SUPERMERCADO BOM PRECO
TRX001752,CT-00600,2025-10-19 00:00:00,pix,178.04,,UBER *TRIP
TRX001801,CT-00440,2026-02-25 00:00:00,pix,296.65,agencia,PIX QR CODE
TRX001460,CT-00430,2025-11-15 02:31:00,saque,-165.35,app,
TRX001217,CT-00138,2026-01-02 00:00:00,débitocartão,-94.19,internetbanking,TARIFA PACOTE SERVICOS
TRX000342,CT-00082,2026-07-08 00:00:00,doc,1695.63,internetbanking,PADARIA DO ZE
TRX001085,CT-00805,2026-03-18 00:00:00,débitocartão,2204.28,ib,SUPERMERCADO BOM PRECO
TRX000080,CT-00121,2025-10-29 00:00:00,doc,-77.31,atm,TRANSF ENTRE CONTAS
TRX001094,CT-01028,2025-11-03 00:00:00,depósito,13260.04,ib,UBER *TRIP
TRX001720,CT-00235,2025-08-14 04:59:00,deposito,172.88,ib,POSTO SHELL BR
TRX002057,CT-00188,2025-08-03 00:00:00,boleto,114.46,agência,TRANSF ENTRE CONTAS
TRX000340,CT-00232,2025-12-12 00:00:00,pix,88.92,app,FOLHA PAGAMENTO
TRX000838,CT-00140,2026-04-21 00:00:00,saque,262.31,app,AMAZON MKTPLACE
TRX001626,CT-00793,2025-08-13 00:00:00,pagamento,984.54,agência,SUPERMERCADO BOM PRECO
TRX001040,CT-00766,2026-02-15 00:00:00,ted,114.21,aplicativo,SUPERMERCADO BOM PRECO
TRX000266,CT-00822,2026-05-12 00:00:00,ted,8851.38,internetbanking,SUPERMERCADO BOM PRECO
TRX000916,CT-00243,2026-08-02 00:00:00,saque,-282.55,ib,FARMACIA SAO JOAO
TRX000095,CT-00721,2025-02-12 00:00:00,doc,187.88,app,PAG*MERCADOLIVRE
TRX000763,CT-00811,2026-02-04 00:02:00,saque,194.74,aplicativo,FARMACIA SAO JOAO
TRX001659,CT-00020,2026-04-13 00:00:00,compradébito,121.0,app,IFOOD *IFOOD
TRX000702,CT-00681,2026-07-06 13:55:00,compradébito,573.2,caixaeletrônico,TARIFA PACOTE SERVICOS
TRX001500,CT-00502,2026-02-25 00:00:00,deposito,41.19,agencia,SUPERMERCADO BOM PRECO
TRX000374,CT-00330,2025-12-21 18:23:00,saque,58.84,agencia,
TRX000139,CT-00444,2026-07-13 05:04:00,compradébito,234.77,ib,TARIFA PACOTE SERVICOS
TRX000212,CT-00898,2026-03-21 00:00:00,pagamento,264.23,caixaeletronico,IFOOD *IFOOD
TRX001930,CT-00247,2025-09-21 00:39:00,compradébito,-6649.34,ib,FARMACIA SAO JOAO
TRX000988,CT-00710,2026-08-15 00:00:00,doc,241.52,agência,AMAZON MKTPLACE
TRX000024,CT-00502,2025-10-28 16:09:00,pix,-1612.2,app,
TRX001036,CT-00564,2026-03-26 02:22:00,boleto,178.93,,NETFLIX.COM
TRX001494,CT-00262,2025-08-29 00:00:00,saque,287.48,caixaeletrônico,TARIFA PACOTE SERVICOS
TRX000568,CT-00100,2026-09-07 00:00:00,deposito,58105.68,internetbanking,RENDIMENTO POUPANCA
TRX000185,CT-00354,2026-05-23 23:11:00,compradébito,132.14,aplicativo,PADARIA DO ZE
TRX001797,CT-00599,2025-06-08 20:23:00,débitocartão,619.98,agencia,SUPERMERCADO BOM PRECO
TRX000293,CT-00537,2026-02-26 00:00:00,debitocartao,163.38,internetbanking,RENDIMENTO POUPANCA
TRX000753,CT-00562,2026-01-29 19:54:00,deposito,540.92,app,FOLHA PAGAMENTO
TRX000870,CT-00365,2026-01-26 00:00:00,ted,-7592.23,,IFOOD *IFOOD
TRX000038,CT-00150,2025-08-27 07:38:00,debitocartao,0.0,ib,FOLHA PAGAMENTO
TRX001420,CT-00116,2025-12-14 00:00:00,doc,5848.44,internetbanking,IFOOD *IFOOD
TRX001288,CT-00695,2026-04-16 03:25:00,boleto,75156.79,app,AMAZON MKTPLACE
TRX000077,CT-00287,2026-01-01 22:37:00,debitocartao,-1803.51,agencia,NETFLIX.COM
TRX001227,CT-00426,2026-06-21 05:54:00,saque,9908.32,agencia,POSTO SHELL BR
TRX001970,CT-00513,2026-04-30 07:52:00,débitocartão,26.03,internetbanking,NETFLIX.COM
TRX001310,CT-00696,2026-05-27 00:00:00,saque,647.62,agencia,TARIFA PACOTE SERVICOS
TRX000508,CT-00520,2026-05-01 00:00:00,boleto,202.6,caixaeletronico,AMAZON MKTPLACE
TRX001663,CT-00552,2025-02-09 20:00:00,pagamento,128.33,app,RENDIMENTO POUPANCA
TRX001767,CT-00997,2025-11-28 00:00:00,saque,1291.73,caixaeletrônico,NETFLIX.COM
TRX001284,CT-00706,2026-06-30 00:00:00,pix,-505.17,app,PAG*MERCADOLIVRE
TRX001206,CT-00817,2026-05-01 21:26:00,boleto,661.82,atm,IFOOD *IFOOD
TRX001450,CT-00134,2026-03-20 00:00:00,doc,1978.69,internetbanking,RENDIMENTO POUPANCA
TRX001066,CT-00200,2025-09-25 11:07:00,ted,1301.34,agência,UBER *TRIP
TRX001641,CT-00741,2026-01-27 00:47:00,débitocartão,-1522.34,internetbanking,UBER *TRIP
TRX001673,CT-00324,2026-09-07 00:00:00,pix,8.66,aplicativo,IFOOD *IFOOD
TRX001019,CT-00349,2026-03-03 00:00:00,saque,1548.55,agencia,AMAZON MKTPLACE
TRX002017,CT-00182,2026-01-16 09:59:00,pagto,657.73,agência,TRANSF ENTRE CONTAS
TRX000074,CT-00161,2026-04-26 00:00:00,ted,4036.86,agencia,TARIFA PACOTE SERVICOS
TRX001277,CT-00122,2025-05-08 00:00:00,saque,-219.01,app,RENDIMENTO POUPANCA
TRX002001,CT-00116,2026-02-08 00:10:00,boleto,,caixaeletronico,UBER *TRIP
TRX001282,CT-00501,2025-10-10 00:00:00,boleto,472.3,aplicativo,RENDIMENTO POUPANCA
TRX001446,CT-00070,2025-10-28 00:00:00,pix,188.99,ib,UBER *TRIP
TRX000473,CT-00590,2026-03-04 10:45:00,pagamento,10793.0,agencia,PADARIA DO ZE
TRX002083,CT-00732,2025-05-12 04:19:00,pagto,-28.6,app,NETFLIX.COM
TRX000560,CT-00555,2026-01-01 00:00:00,deposito,66.65,app,TARIFA PACOTE SERVICOS
TRX001634,CT-00780,2025-01-09 00:00:00,depósito,1776.32,agência,
TRX001836,CT-00625,2025-11-01 00:00:00,deposito,12973.49,app,PIX QR CODE
TRX002073,CT-00209,2026-07-07 00:00:00,debitocartao,138.47,caixaeletrônico,TRANSF ENTRE CONTAS
TRX002097,CT-00600,2026-03-08 16:08:00,doc,459.7,internetbanking,TRANSF ENTRE CONTAS
TRX000068,CT-00410,2025-11-19 00:00:00,débitocartão,0.0,caixaeletronico,PADARIA DO ZE
TRX002047,CT-00834,2025-04-10 00:00:00,saque,-939.07,agencia,NETFLIX.COM
TRX001661,CT-00513,2026-02-19 00:00:00,ted,110.23,atm,AMAZON MKTPLACE
TRX001690,CT-00153,2025-09-11 22:56:00,ted,100.69,app,UBER *TRIP
TRX001268,CT-00855,2025-08-15 00:00:00,depósito,26861.18,aplicativo,PAG*MERCADOLIVRE
TRX001504,CT-00919,2026-10-08 00:00:00,debitocartao,-9367.92,ib,TARIFA PACOTE SERVICOS
TRX000793,CT-00686,2025-10-29 00:00:00,ted,176.74,app,PADARIA DO ZE
TRX000320,CT-00361,2026-03-03 00:00:00,pagto,,internetbanking,FOLHA PAGAMENTO
TRX001207,CT-00029,2025-07-09 00:00:00,boleto,30.66,agencia,PIX QR CODE
TRX001688,CT-00001,2026-06-01 10:03:00,pix,1321.29,caixaeletrônico,POSTO SHELL BR
TRX000253,CT-00180,2025-11-16 13:14:00,depósito,127.25,agencia,IFOOD *IFOOD
TRX000227,CT-00016,2025-11-18 04:42:00,saque,6653.33,,POSTO SHELL BR
TRX000177,CT-01000,2026-10-05 00:00:00,ted,118.83,app,FARMACIA SAO JOAO
TRX000825,CT-00409,2026-07-25 12:23:00,débitocartão,291.29,,AMAZON MKTPLACE
TRX001222,CT-00296,2025-08-23 00:00:00,pix,60295.61,app,FARMACIA SAO JOAO
TRX001033,CT-00903,2026-08-02 00:00:00,pix,-194.62,internetbanking,PADARIA DO ZE
TRX001506,CT-00665,2026-01-25 17:32:00,pix,30.6,,RENDIMENTO POUPANCA
TRX000184,CT-00165,2026-04-07 00:00:00,depósito,4833.0,app,RENDIMENTO POUPANCA
TRX001084,CT-00959,2026-07-14 00:00:00,debitocartao,257.57,internetbanking,NETFLIX.COM
TRX000837,CT-00106,2025-09-26 00:00:00,pix,-120.94,caixaeletronico,POSTO SHELL BR
TRX000052,CT-00956,2026-07-27 07:51:00,saque,56.45,app,NETFLIX.COM
TRX000882,CT-00225,2026-02-25 00:00:00,deposito,8132.38,ib,SUPERMERCADO BOM PRECO
TRX001037,CT-00899,2025-12-28 00:00:00,debitocartao,57.16,agencia,FOLHA PAGAMENTO
TRX001354,CT-00690,2026-04-10 23:41:00,pix,22779.87,atm,SUPERMERCADO BOM PRECO
TRX000656,CT-00542,2025-09-28 15:04:00,pix,2508.19,app,SUPERMERCADO BOM PRECO
TRX001102,CT-00038,2025-12-10 00:00:00,deposito,1964.99,internetbanking,RENDIMENTO POUPANCA
TRX001541,CT-00363,2026-02-03 04:00:00,boleto,-27356.94,agencia,TRANSF ENTRE CONTAS
TRX000889,CT-00363,2025-06-08 16:34:00,pix,270.03,caixaeletronico,FOLHA PAGAMENTO
TRX000748,CT-00708,2026-12-06 08:50:00,deposito,116.14,internetbanking,AMAZON MKTPLACE
TRX001788,CT-00174,2025-04-09 00:00:00,depósito,1575.07,agencia,PIX QR CODE
TRX002036,CT-00952,2025-11-25 00:00:00,deposito,252.61,app,NETFLIX.COM
TRX000708,CT-00599,2026-05-25 00:00:00,saque,94.91,agência,TRANSF ENTRE CONTAS
TRX000250,CT-00586,2026-05-13 00:00:00,débitocartão,-5669.73,app,FARMACIA SAO JOAO
TRX000259,CT-00993,2025-09-10 00:00:00,compradébito,-144.92,app,SUPERMERCADO BOM PRECO
TRX000515,CT-00303,2026-03-22 00:00:00,pagto,280.48,app,IFOOD *IFOOD
TRX001298,CT-00678,2025-08-18 00:00:00,debitocartao,190.32,caixaeletronico,POSTO SHELL BR
TRX001186,CT-00370,2025-08-17 00:00:00,ted,-4199.88,caixaeletronico,UBER *TRIP
TRX000176,CT-00648,2025-10-23 00:00:00,pagamento,279.88,atm,PADARIA DO ZE
TRX000729,CT-00085,2026-02-04 17:28:00,pagamento,182.22,agencia,POSTO SHELL BR
TRX000872,CT-00466,2026-06-17 10:11:00,pix,-6336.44,app,FOLHA PAGAMENTO
TRX001952,CT-00251,2026-01-14 00:00:00,débitocartão,15.9,agencia,TRANSF ENTRE CONTAS
TRX001907,CT-00558,2025-10-26 05:15:00,pix,198.82,ib,UBER *TRIP
TRX001833,CT-00004,2026-05-25 09:03:00,saque,1930.68,atm,UBER *TRIP
TRX002018,CT-00974,2025-04-12 21:18:00,ted,270.08,caixaeletrônico,
TRX000509,CT-00373,2026-06-16 01:52:00,deposito,49.35,agencia,PIX QR CODE
TRX001467,CT-00723,2025-09-27 00:00:00,depósito,298.5,caixaeletronico,RENDIMENTO POUPANCA
TRX001451,CT-00054,2025-12-04 00:00:00,saque,29.51,caixaeletronico,UBER *TRIP
TRX000082,CT-00664,2026-05-16 00:00:00,saque,1816.79,aplicativo,FOLHA PAGAMENTO
TRX001986,CT-00234,2026-05-08 14:01:00,boleto,226.43,app,TRANSF ENTRE CONTAS
TRX002031,CT-00024,2025-10-01 00:00:00,boleto,1331.78,internetbanking,
TRX001473,CT-00133,2026-03-20 22:11:00,doc,,agencia,POSTO SHELL BR
TRX000644,CT-00523,2026-06-25 15:30:00,ted,-73.27,,RENDIMENTO POUPANCA
TRX001818,CT-00526,2025-10-27 00:00:00,depósito,14609.5,agencia,PAG*MERCADOLIVRE
TRX000861,CT-00570,2026-07-06 00:00:00,ted,-57.17,caixaeletronico,PIX QR CODE
TRX000078,CT-00460,2026-06-09 00:00:00,deposito,228.5,caixaeletrônico,PAG*MERCADOLIVRE
TRX001691,CT-00224,2026-01-23 09:12:00,deposito,166.98,agencia,UBER *TRIP
TRX001702,CT-00605,2025-10-31 20:25:00,saque,-178.16,internetbanking,TRANSF ENTRE CONTAS
TRX001861,CT-00906,2025-08-29 13:23:00,pagamento,1355.51,,PADARIA DO ZE
TRX001449,CT-00243,2026-07-08 00:00:00,deposito,116.1,app,FOLHA PAGAMENTO
TRX000779,CT-00283,2025-10-19 08:22:00,pagto,57.34,agência,PADARIA DO ZE
TRX001489,CT-00737,2026-04-29 00:00:00,boleto,1503.85,internetbanking,
TRX000002,CT-00121,2025-10-30 00:00:00,saque,272.3,agencia,
TRX001150,CT-00669,2025-08-20 07:30:00,deposito,0.0,aplicativo,
TRX001855,CT-00227,2026-01-27 01:33:00,pix,0.0,atm,PIX QR CODE
TRX000144,CT-00880,2025-12-26 00:00:00,pix,89.65,app,TRANSF ENTRE CONTAS
TRX000675,CT-01024,2025-11-14 14:28:00,saque,8930.87,app,POSTO SHELL BR
TRX000842,CT-00985,2026-08-15 00:00:00,saque,297.21,agência,UBER *TRIP
TRX001806,CT-00430,2026-07-30 00:00:00,pagto,,caixaeletronico,
TRX000502,CT-00551,2026-07-06 16:40:00,pagto,-71.06,agencia,TRANSF ENTRE CONTAS
TRX000679,CT-00399,2025-08-08 00:00:00,debitocartao,2045.92,agencia,UBER *TRIP
TRX000168,CT-00393,2026-08-09 00:00:00,deposito,0.0,internetbanking,TARIFA PACOTE SERVICOS
TRX000721,CT-00742,2025-03-10 03:09:00,pagamento,66428.64,aplicativo,PAG*MERCADOLIVRE
TRX000376,CT-00731,2025-12-25 09:33:00,débitocartão,5.16,agência,TARIFA PACOTE SERVICOS
TRX001844,CT-00440,2026-06-24 16:53:00,saque,1016.74,ib,FOLHA PAGAMENTO
TRX000706,CT-00379,2026-06-15 09:47:00,pix,1138.76,caixaeletrônico,IFOOD *IFOOD
TRX001831,CT-00600,2026-05-04 21:14:00,debitocartao,,internetbanking,AMAZON MKTPLACE
TRX001289,CT-00028,2026-07-10 22:07:00,pix,-21733.61,app,FARMACIA SAO JOAO
TRX001522,CT-00191,2026-06-19 00:00:00,boleto,1971.34,internetbanking,NETFLIX.COM
TRX000562,CT-00955,2026-03-06 00:00:00,debitocartao,-1802.53,caixaeletrônico,FARMACIA SAO JOAO
TRX001332,CT-00125,2026-05-14 00:00:00,saque,212.1,app,TRANSF ENTRE CONTAS
TRX001654,CT-00776,2025-09-10 00:55:00,pix,-47.92,aplicativo,TARIFA PACOTE SERVICOS
TRX000539,CT-00793,2026-02-26 10:01:00,compradébito,6055.53,agencia,NETFLIX.COM
TRX001088,CT-00720,2026-09-06 00:00:00,depósito,6619.72,internetbanking,PIX QR CODE
TRX000875,CT-00709,2026-01-16 08:40:00,saque,144.46,app,PADARIA DO ZE
TRX001954,CT-00226,2026-03-31 02:09:00,deposito,106.74,internetbanking,UBER *TRIP
TRX000183,CT-00817,2026-01-06 20:25:00,deposito,44.17,app,SUPERMERCADO BOM PRECO
TRX000610,CT-01018,2025-11-21 00:00:00,ted,1639.96,internetbanking,PADARIA DO ZE
TRX001280,CT-00170,2026-06-10 00:00:00,boleto,0.0,caixaeletrônico,POSTO SHELL BR
TRX000269,CT-00642,2025-02-11 00:00:00,pagto,160.31,app,POSTO SHELL BR
TRX000704,CT-00071,2025-12-23 20:09:00,saque,1248.13,agencia,IFOOD *IFOOD
TRX000849,CT-00436,2026-08-03 14:22:00,boleto,272.72,app,FOLHA PAGAMENTO
TRX000966,CT-00589,2025-08-08 00:00:00,ted,-2789.6,agencia,AMAZON MKTPLACE
TRX001320,CT-00308,2026-03-14 00:00:00,ted,1726.47,caixaeletrônico,FARMACIA SAO JOAO
TRX001732,CT-00413,2026-03-14 00:00:00,doc,373.49,app,
TRX000945,CT-00192,2026-05-18 00:00:00,debitocartao,1213.72,internetbanking,TARIFA PACOTE SERVICOS
TRX001517,CT-00367,2025-09-15 11:58:00,pix,7.43,app,PAG*MERCADOLIVRE
TRX000591,CT-00731,2026-07-19 05:14:00,pix,204.58,app,FARMACIA SAO JOAO
TRX000190,CT-00666,2025-11-08 19:06:00,boleto,201.91,agência,NETFLIX.COM
TRX000538,CT-00637,2026-04-19 00:00:00,boleto,415.32,app,
TRX000166,CT-00827,2026-04-29 04:34:00,deposito,153.23,internetbanking,
TRX000122,CT-00636,2025-11-29 12:28:00,pix,283.57,,RENDIMENTO POUPANCA
TRX002060,CT-00670,2025-07-11 00:00:00,saque,1202.82,app,IFOOD *IFOOD
TRX002030,CT-00871,2025-11-09 08:29:00,ted,5857.92,caixaeletronico,POSTO SHELL BR
TRX000453,CT-00877,2026-03-18 22:18:00,pagto,235.0,app,POSTO SHELL BR
TRX000621,CT-00100,2026-09-04 00:00:00,saque,436.31,app,
TRX000066,CT-00606,2026-06-13 00:00:00,pix,83.52,agencia,AMAZON MKTPLACE
TRX001430,CT-00267,2026-07-14 00:00:00,ted,10512.54,caixaeletronico,FOLHA PAGAMENTO
TRX001725,CT-00647,2026-03-13 17:05:00,deposito,932.41,aplicativo,FOLHA PAGAMENTO
TRX002039,CT-00711,2025-12-08 08:45:00,ted,-111.71,app,FARMACIA SAO JOAO
TRX000921,CT-00022,2026-04-17 00:00:00,deposito,1759.31,agência,TRANSF ENTRE CONTAS
TRX001138,CT-00128,2026-07-24 22:06:00,pagamento,148.36,agencia,TARIFA PACOTE SERVICOS
TRX000667,CT-00635,2026-06-11 00:00:00,saque,359.29,app,FOLHA PAGAMENTO
TRX001851,CT-00884,2025-01-09 06:48:00,pix,252.64,app,UBER *TRIP
TRX000888,CT-00690,2025-09-14 23:43:00,pix,-3740.35,caixaeletrônico,PADARIA DO ZE
TRX000643,CT-00639,2025-10-12 00:00:00,pix,115.67,app,FARMACIA SAO JOAO
TRX000435,CT-00418,2026-08-05 22:26:00,deposito,2593.16,internetbanking,SUPERMERCADO BOM PRECO
TRX000425,CT-00538,2025-09-30 19:47:00,saque,1430.25,ib,UBER *TRIP
TRX001932,CT-00341,2025-04-08 00:00:00,deposito,67.78,ib,UBER *TRIP
TRX001499,CT-00689,2025-09-29 00:00:00,pagto,1841.67,,PADARIA DO ZE
TRX001548,CT-00118,2025-10-20 00:00:00,ted,115.19,agência,PADARIA DO ZE
TRX000956,CT-01009,2026-07-31 00:00:00,ted,-85.87,ib,POSTO SHELL BR
TRX000476,CT-00182,2026-07-06 00:00:00,ted,526.4,aplicativo,AMAZON MKTPLACE
TRX001488,CT-00486,2025-11-17 00:00:00,pagamento,1561.13,agencia,IFOOD *IFOOD
TRX000058,CT-00626,2026-01-28 00:00:00,compradébito,292.84,aplicativo,NETFLIX.COM
TRX001899,CT-00957,2025-11-13 04:46:00,débitocartão,,internetbanking,IFOOD *IFOOD
