id_emprestimo,cliente_id,produto,valor_contratado,taxa_juros_a.m.,qtd_parcelas,parcelas_pagas,data_contratacao,situacao
EMP-0119,CLT-0072,consignado,213132.65,5.0,12,11,2019-05-23,em dia
EMP-0238,CLT-0662,credito pessoal,38072.55,2.6,24,6,2022-01-19,em dia
EMP-0281,CLT-0112,fin. veicular,2452.16,1.1,120,34,2024-01-17,em dia
EMP-0305,CLT-0607,fin. veicular,305252.93,4.72,48,15,2018-06-03,atrasado
EMP-0340,CLT-0210,consignado,5912.23,5.0,60,27,2018-05-19,em dia
EMP-0249,CLT-0776,crédito pessoal,45365.79,2.7,60,51,2023-07-15,em dia
EMP-0148,CLT-0188,consignado,8505.04,0.0515,72,70,2020-02-28,em dia
EMP-0083,CLT-0453,fv,3144.7,,48,26,2018-08-20,quitado
EMP-0004,CLT-0248,consignado,2568.04,2.3,36,3,2021-09-13,em análise
EMP-0054,CLT-0129,financiamento veicular,26882.25,4.5,36,14,2026-01-05,em dia
EMP-0105,CLT-0117,crédito imobiliário,162691.26,4.6,120,8,2021-08-07,em dia
EMP-0297,CLT-0179,consignado,46189.99,5.2,72,51,2021-04-29,atrasado
EMP-0009,CLT-0438,ci,8875.06,,60,52,2018-08-06,atrasado
EMP-0346,CLT-0460,consignado,386969.97,,36,10,2020-10-07,em dia
EMP-0169,CLT-0194,ci,55344.04,5.3,24,8,2026-03-03,em dia
EMP-0002,CLT-0192,cp,2642.7,,60,17,2018-03-17,em dia
EMP-0244,CLT-0815,consignado,6079.35,3.0,120,84,2023-09-27,em análise
EMP-0302,CLT-0109,crédito pessoal,344008.76,3.3,48,18,2020-03-10,em dia
EMP-0250,CLT-0536,cp,1801.22,4.8,240,214,2025-05-28,atrasado
EMP-0101,CLT-0472,crédito pessoal,28171.84,4.71,240,60,2020-02-17,atrasado
EMP-0323,CLT-0461,credito imobiliario,29535.52,5.4,12,10,2026-03-01,atrasado
EMP-0247,CLT-0369,consignado,252219.27,3.08,72,40,2025-10-22,em dia
EMP-0178,CLT-0301,financiamento veicular,33859.92,5.13,240,9,2026-06-23,em dia
EMP-0011,CLT-0537,financiamento veicular,47955.08,0.0513,12,2,2019-02-25,atrasado
EMP-0045,CLT-0273,crédito pessoal,7644.11,3.6,36,19,2025-11-07,quitado
EMP-0041,CLT-0721,consignado,6841.51,2.7,12,2,2025-09-08,quitado
EMP-0203,CLT-0001,cp,1424.85,2.7,36,33,2023-06-08,atrasado
EMP-0242,CLT-0400,financiamento veicular,7239.35,4.1,60,17,2018-07-20,atrasado
EMP-0191,CLT-0334,fin. veicular,275177.33,4.9,72,66,2025-07-02,em dia
EMP-0243,CLT-0488,fin. veicular,30436.44,5.26,24,20,2025-04-06,atrasado
EMP-0212,CLT-0123,crédito pessoal,1761.1,,36,9,2020-04-23,quitado
EMP-0336,CLT-0064,credito pessoal,,1.69,48,46,2018-06-14,atrasado
EMP-0357,CLT-0249,credito pessoal,8226.22,0.0547,12,0,2025-04-04,em dia
EMP-0162,CLT-0752,crédito pessoal,2492.18,1.94,48,11,2018-08-25,em dia
EMP-0021,CLT-0199,fin. veicular,263566.24,0.0434,24,3,2019-11-08,atrasado
EMP-0211,CLT-0042,crédito imobiliário,4064.62,,120,19,2020-03-17,quitado
EMP-0286,CLT-0366,consignado,8858.22,5.0,24,13,2020-11-09,em dia
EMP-0166,CLT-0402,crédito pessoal,48555.37,5.1,72,45,2019-10-07,atrasado
EMP-0159,CLT-0139,consignado,16362.22,1.0,120,98,2023-06-18,em dia
EMP-0019,CLT-0230,ci,5363.76,4.7,24,11,2025-05-03,em dia
EMP-0141,CLT-0263,crédito pessoal,7552.4,2.78,120,48,2023-12-31,quitado
EMP-0112,CLT-0374,consignado,347279.06,0.0228,12,13,2018-05-24,atrasado
EMP-0351,CLT-0773,financiamento veicular,59308.66,2.6,72,53,2024-08-19,em dia
EMP-0215,CLT-0555,cp,165907.78,3.1,12,10,2025-08-01,
EMP-0337,CLT-0490,cp,51688.16,3.2,48,17,2024-06-03,atrasado
EMP-0356,CLT-0603,crédito pessoal,1293.31,4.1,24,5,2024-02-15,atrasado
EMP-0236,CLT-0700,crédito pessoal,82597.25,1.66,72,53,2020-06-16,atrasado
EMP-0214,CLT-0380,credito imobiliario,20105.56,5.28,36,6,2023-12-16,em dia
EMP-0073,CLT-0694,cp,6309.16,1.6,240,33,2019-08-29,atrasado
EMP-0171,CLT-0642,credito pessoal,106871.08,1.6,72,4,2018-07-14,em dia
EMP-0358,CLT-0681,fv,23928.03,3.1,12,0,2023-03-16,quitado
EMP-0326,CLT-0776,fin. veicular,68501.29,2.8,72,27,2021-04-29,atrasado
EMP-0114,CLT-0088,cp,14242.3,5.27,48,47,2018-02-15,em dia
EMP-0081,CLT-0466,ci,4423.51,1.3,48,44,2021-10-13,quitado
EMP-0131,CLT-0624,fv,39922.36,3.93,12,7,2023-11-03,em dia
EMP-0240,CLT-0494,ci,159332.34,4.83,120,45,2020-10-04,quitado
EMP-0147,CLT-0174,cp,30833.79,5.1,72,17,2021-07-19,em dia
EMP-0194,CLT-0319,credito pessoal,,3.62,24,23,2022-05-19,em dia
EMP-0279,CLT-0798,consignado,,0.0213,72,69,2024-08-02,em dia
EMP-0263,CLT-0627,financiamento veicular,37055.21,5.4,48,9,2024-06-26,em análise
EMP-0027,CLT-0582,fin. veicular,7338.2,0.0146,48,43,2024-04-29,em dia
EMP-0001,CLT-0253,consignado,5960.13,2.1,12,0,2023-10-04,em dia
EMP-0142,CLT-0402,credito pessoal,,1.42,24,9,2026-03-28,em analise
EMP-0071,CLT-0520,credito imobiliario,17727.98,2.9,48,30,2021-01-25,atrasado
EMP-0034,CLT-0714,ci,35481.42,3.88,24,4,2020-10-21,em dia
EMP-0025,CLT-0454,consignado,46926.9,0.0382,72,18,2020-10-05,em dia
EMP-0106,CLT-0260,ci,49668.35,0.0488,120,75,2020-03-03,em dia
EMP-0070,CLT-0629,crédito pessoal,59551.15,2.17,72,11,2025-07-26,em dia
EMP-0006,CLT-0128,financiamento veicular,19970.67,4.99,36,21,2022-09-04,em análise
EMP-0327,CLT-0815,ci,6612.12,5.06,48,23,2020-05-12,em dia
EMP-0196,CLT-0040,crédito imobiliário,4768.24,,60,21,2019-10-06,quitado
EMP-0184,CLT-0544,crédito pessoal,5537.86,2.5,24,6,2022-01-21,atrasado
EMP-0270,CLT-0421,fv,339471.27,4.07,48,0,2021-02-01,em dia
EMP-0035,CLT-0681,consignado,40929.94,3.0,48,6,2025-11-19,em dia
EMP-0233,CLT-0347,crédito imobiliário,5555.24,0.0189,24,22,2023-09-20,em dia
EMP-0107,CLT-0015,financiamento veicular,48138.04,4.98,12,4,2019-08-27,quitado
EMP-0347,CLT-0673,cp,,0.035,120,111,2021-10-07,em dia
EMP-0017,CLT-0504,consignado,1501.2,3.4,24,17,2024-04-27,em dia
EMP-0026,CLT-0764,fv,104160.73,3.3,48,18,2020-12-23,quitado
EMP-0288,CLT-0396,credito pessoal,9042.77,4.9,72,43,2018-05-29,em análise
EMP-0103,CLT-0020,cp,52039.59,1.8,60,34,2020-01-06,quitado
EMP-0051,CLT-0583,financiamento veicular,59512.55,0.0098,24,22,2020-08-18,atrasado
EMP-0207,CLT-0800,crédito pessoal,183239.24,0.019,60,38,2021-10-05,atrasado
EMP-0069,CLT-0349,consignado,4910.51,1.56,48,39,2020-03-06,quitado
EMP-0120,clt-0629,crédito imobiliário,52122.15,5.1,120,74,2026-04-29,atrasado
EMP-0198,CLT-0642,crédito imobiliário,151583.07,2.7,120,26,2020-04-28,quitado
EMP-0217,CLT-0651,credito pessoal,173916.39,4.4,72,61,2023-02-15,em dia
EMP-0037,CLT-0362,consignado,46680.85,0.0304,72,63,2019-07-23,quitado
EMP-0012,CLT-0537,credito pessoal,4198.23,5.3,48,1,2024-11-27,em dia
EMP-0291,CLT-0420,consignado,25852.89,4.8,240,141,2018-04-02,em dia
EMP-0124,CLT-0172,cp,44185.12,5.0,72,37,2018-09-16,atrasado
EMP-0155,CLT-0019,crédito pessoal,1186.58,1.7,24,19,2021-11-07,em dia
EMP-0331,CLT-0252,consignado,9914.81,2.6,240,228,2020-12-09,em dia
EMP-0074,CLT-0419,crédito pessoal,6193.61,5.3,48,25,2026-05-12,em dia
EMP-0234,CLT-0272,consignado,3313.94,1.2,240,30,2020-06-03,em dia
EMP-0330,CLT-0390,credito pessoal,338574.42,1.56,48,4,2020-01-19,em dia
EMP-0181,CLT-0632,crédito pessoal,49004.31,3.36,48,41,2018-09-17,quitado
EMP-0239,CLT-0689,financiamento veicular,6108.39,2.3,12,5,2026-02-04,em dia
EMP-0095,CLT-0681,crédito pessoal,21510.45,4.5,24,22,2023-09-09,em dia
EMP-0254,CLT-0788,crédito pessoal,38050.8,4.8,24,20,2026-01-25,quitado
EMP-0319,CLT-0074,credito pessoal,9393.48,5.13,48,2,2024-01-07,em dia
EMP-0043,CLT-0758,fv,8707.93,1.4,72,6,2021-11-26,atrasado
EMP-0146,CLT-0136,credito pessoal,40100.41,4.2,72,8,2024-05-26,em dia
EMP-0087,CLT-0525,financiamento veicular,178471.45,,48,32,2023-12-31,quitado
EMP-0042,CLT-0002,crédito pessoal,24002.53,2.6,60,55,2019-10-13,atrasado
EMP-0282,CLT-0076,credito pessoal,1571.36,3.0,36,27,2023-01-26,em dia
EMP-0018,CLT-0540,consignado,5640.01,2.0,120,76,2018-09-30,em dia
EMP-0175,CLT-0334,ci,9013.39,0.0409,120,31,2019-12-06,em dia
EMP-0265,CLT-0592,financiamento veicular,4837.28,2.6,60,60,2021-07-21,quitado
EMP-0145,CLT-0460,crédito pessoal,53962.93,2.0,240,198,2025-03-06,em dia
EMP-0064,CLT-0734,credito imobiliario,317539.74,0.0359,12,11,2019-10-26,em dia
EMP-0343,CLT-0793,credito pessoal,1159.61,,240,172,2018-07-23,em dia
EMP-0287,CLT-0341,fin. veicular,383703.57,3.8,24,17,2019-04-06,em análise
EMP-0176,CLT-0468,ci,3348.09,0.0488,72,26,2022-05-10,quitado
EMP-0134,CLT-0113,crédito pessoal,14328.11,3.9,36,0,2020-10-10,em dia
EMP-0036,CLT-0602,crédito imobiliário,6897.13,,72,44,2019-11-11,em dia
EMP-0223,CLT-0381,fin. veicular,7871.61,1.3,240,136,2020-03-15,quitado
EMP-0338,CLT-0038,fv,7787.38,3.79,36,9,2023-04-22,quitado
EMP-0311,CLT-0681,consignado,245039.78,3.7,60,11,2025-06-08,em dia
EMP-0102,CLT-0565,credito pessoal,90609.34,1.3,120,82,2021-06-02,quitado
EMP-0077,CLT-0774,cp,9651.65,0.0449,72,65,2026-04-20,em dia
EMP-0084,CLT-0108,fv,3989.72,3.6,240,239,2019-03-10,em dia
EMP-0170,CLT-0411,financiamento veicular,5981.41,3.77,24,21,2025-02-10,atrasado
EMP-0299,CLT-0417,fv,165132.91,2.5,24,2,2024-12-17,quitado
EMP-0285,CLT-0734,crédito imobiliário,53673.39,3.31,48,11,2025-07-24,em dia
EMP-0329,CLT-0352,crédito imobiliário,,5.3,240,190,2026-08-02,em dia
EMP-0295,CLT-0119,credito imobiliario,4240.3,0.0151,24,23,2024-09-19,em dia
EMP-0213,CLT-0314,financiamento veicular,24941.81,0.0371,60,6,2020-09-01,em dia
EMP-0135,CLT-0033,financiamento veicular,70183.5,3.0,36,3,2026-04-13,quitado
EMP-0308,CLT-0253,credito pessoal,289181.35,,240,201,2025-10-23,quitado
EMP-0059,CLT-0626,fv,9335.58,1.2,48,29,2018-06-16,em análise
EMP-0321,CLT-0341,financiamento veicular,3272.57,1.2,240,225,2024-10-26,
EMP-0298,CLT-0435,ci,1536.07,4.48,72,66,2024-09-18,em dia
EMP-0016,CLT-0305,credito pessoal,2130.08,1.7,48,19,2024-05-21,quitado
EMP-0092,CLT-0088,credito imobiliario,1206.69,4.4,72,69,2020-04-28,em dia
EMP-0348,CLT-0636,consignado,39461.22,3.4,60,28,2022-05-06,quitado
EMP-0256,CLT-0388,consignado,6640.26,3.84,24,21,2024-01-17,atrasado
EMP-0097,CLT-0495,crédito pessoal,216919.11,0.0244,24,24,2025-07-31,em dia
EMP-0022,CLT-0541,cp,57716.54,2.8,24,12,2024-09-11,em dia
EMP-0190,CLT-0486,crédito pessoal,2122.55,1.5,36,15,2018-10-12,em dia
EMP-0200,CLT-0327,credito pessoal,46578.71,0.0383,60,18,2021-01-05,quitado
EMP-0049,CLT-0358,consignado,13891.28,0.0169,36,16,2024-04-27,atrasado
EMP-0168,CLT-0641,cp,21186.42,1.43,60,56,2025-10-14,atrasado
EMP-0261,CLT-0051,crédito imobiliário,45396.61,0.0166,48,4,2026-04-09,atrasado
EMP-0062,clt-0382,ci,52532.61,0.0204,60,1,2024-04-15,em dia
EMP-0125,CLT-0186,ci,284352.45,4.1,12,9,2023-05-10,em dia
EMP-0140,CLT-0449,consignado,8295.17,4.6,72,62,2024-09-08,em dia
EMP-0003,CLT-0566,consignado,6422.02,,240,136,2021-04-07,em dia
EMP-0158,CLT-0660,ci,317135.34,3.2,60,24,2018-05-21,em análise
EMP-0231,CLT-0612,financiamento veicular,5549.58,4.4,36,21,2026-03-05,em análise
EMP-0280,CLT-0017,crédito pessoal,2139.8,2.9,72,45,2025-08-05,quitado
EMP-0268,CLT-0388,credito imobiliario,,2.5,36,33,2021-11-02,atrasado
EMP-0013,CLT-0105,ci,7635.16,,12,1,2025-11-30,em analise
EMP-0225,CLT-0172,crédito imobiliário,392970.62,0.0487,48,36,2018-02-21,atrasado
EMP-0255,CLT-0563,ci,377127.32,0.9,240,89,2024-04-13,em dia
EMP-0110,CLT-0382,consignado,3650.99,1.54,24,10,2021-01-16,em dia
EMP-0047,CLT-0717,crédito pessoal,217102.33,3.65,24,8,2023-02-10,atrasado
EMP-0128,CLT-0606,financiamento veicular,3516.77,5.1,240,113,2026-04-01,em dia
EMP-0068,CLT-0663,crédito pessoal,2708.66,,240,197,2024-02-06,em análise
EMP-0260,CLT-0765,credito imobiliario,14139.07,0.0476,240,158,2018-01-23,quitado
EMP-0129,CLT-0688,fv,1365.69,4.17,240,112,2019-09-29,em dia
EMP-0058,CLT-0055,fin. veicular,19037.67,1.6,72,61,2020-02-03,em dia
EMP-0267,CLT-0761,cp,375068.71,0.041,60,29,2026-04-16,atrasado
EMP-0296,CLT-0685,fin. veicular,290724.07,2.4,12,11,2022-07-12,quitado
EMP-0276,CLT-0342,financiamento veicular,2430.72,3.1,12,11,2021-02-12,em dia
EMP-0180,CLT-0333,financiamento veicular,12800.84,1.81,120,124,2026-05-15,atrasado
EMP-0334,CLT-0379,cp,46969.81,2.1,120,48,2025-12-28,quitado
EMP-0300,CLT-0578,crédito pessoal,21320.53,3.23,48,39,2021-04-12,em dia
EMP-0193,CLT-0149,consignado,257538.02,5.0,60,1,2023-07-12,em dia
EMP-0316,CLT-0352,financiamento veicular,7847.0,3.1,120,39,2019-11-16,em dia
EMP-0088,CLT-0535,financiamento veicular,6041.44,0.0145,120,49,2018-04-12,quitado
EMP-0067,CLT-0584,fv,173677.18,1.5,24,14,2019-01-03,em dia
EMP-0355,CLT-0108,consignado,9310.69,,36,6,2026-05-27,em analise
EMP-0266,CLT-0467,financiamento veicular,5820.75,4.79,120,17,2020-04-26,em dia
EMP-0360,CLT-0188,consignado,2906.56,4.8,240,240,2023-05-31,em dia
EMP-0188,CLT-0242,credito imobiliario,,,120,24,2020-03-19,em dia
EMP-0345,CLT-0464,credito imobiliario,7811.92,0.0455,36,6,2022-03-04,em dia
EMP-0241,CLT-0720,financiamento veicular,30645.58,0.027,72,20,2021-03-25,em dia
EMP-0257,CLT-0191,fin. veicular,7773.05,0.0392,12,7,2026-01-21,em dia
EMP-0100,CLT-0119,financiamento veicular,1518.85,,36,7,2021-12-16,atrasado
EMP-0079,CLT-0595,fv,177011.91,,60,25,2019-03-22,quitado
EMP-0235,CLT-0606,consignado,46467.5,1.5,60,4,2023-12-09,em dia
EMP-0278,CLT-0326,fv,2053.2,0.0396,120,111,2019-01-24,quitado
EMP-0219,CLT-0568,consignado,2796.81,2.49,72,31,2023-03-27,atrasado
EMP-0116,CLT-0223,crédito imobiliário,2872.31,1.0,60,25,2025-12-05,atrasado
EMP-0314,CLT-0715,fv,42752.96,,24,17,2020-01-27,em dia
EMP-0108,CLT-0673,crédito pessoal,6206.12,4.2,12,8,2023-07-29,atrasado
EMP-0306,CLT-0479,financiamento veicular,3693.03,3.5,240,1,2020-10-20,em dia
EMP-0165,CLT-0480,consignado,16774.09,0.0505,24,23,2020-08-02,em dia
EMP-0269,CLT-0377,financiamento veicular,9866.14,4.4,60,19,2022-11-08,em dia
EMP-0271,CLT-0771,consignado,2420.11,,48,6,2023-07-03,quitado
EMP-0353,CLT-0437,consignado,7037.97,5.2,240,229,2026-05-30,em dia
EMP-0284,CLT-0077,credito pessoal,96142.52,0.011,240,199,2018-05-17,em dia
EMP-0096,CLT-0124,consignado,143991.25,2.4,120,83,2021-07-21,em análise
EMP-0121,CLT-0105,crédito pessoal,26642.16,,240,219,2021-02-01,em dia
EMP-0160,CLT-0601,consignado,6343.24,0.0175,48,12,2025-05-20,em dia
EMP-0038,CLT-0289,credito pessoal,,1.7,12,2,2020-09-25,quitado
EMP-0187,CLT-0612,fv,246100.74,3.0,12,5,2021-12-31,em dia
EMP-0354,CLT-0028,consignado,4399.02,0.0347,12,5,2022-02-23,em dia
EMP-0126,CLT-0619,financiamento veicular,9034.08,4.9,240,68,2021-01-01,em dia
EMP-0216,CLT-0066,consignado,122053.14,1.4,12,8,2022-09-15,quitado
EMP-0090,CLT-0560,fv,5722.72,1.9,24,2,2023-12-02,em dia
EMP-0320,CLT-0288,financiamento veicular,285442.14,,48,3,2024-09-09,quitado
EMP-0123,CLT-0700,consignado,8595.69,5.24,72,31,2021-08-15,atrasado
EMP-0339,CLT-0682,crédito pessoal,56894.81,4.1,24,22,2019-07-01,quitado
EMP-0015,CLT-0777,crédito imobiliário,58279.1,3.7,72,49,2023-09-05,em dia
EMP-0044,CLT-0101,consignado,5033.98,3.1,24,4,2022-07-09,em análise
EMP-0220,CLT-0511,consignado,288266.63,1.9,48,37,2019-06-08,em dia
EMP-0151,CLT-0333,fin. veicular,,3.3,120,51,2024-02-20,atrasado
EMP-0182,CLT-0666,ci,23471.51,1.7,12,10,2022-09-18,quitado
EMP-0283,CLT-0213,credito pessoal,6895.46,1.0,24,15,2022-08-31,em analise
EMP-0227,CLT-0291,credito imobiliario,1749.81,0.0184,60,4,2019-04-29,
EMP-0218,CLT-0248,consignado,6045.75,2.7,120,103,2023-08-09,quitado
EMP-0127,CLT-0333,consignado,35598.37,4.6,60,34,2018-12-03,atrasado
EMP-0032,CLT-0612,crédito imobiliário,5944.89,2.18,240,213,2026-03-03,em dia
EMP-0014,CLT-0360,cp,34662.15,0.0156,24,0,2024-03-01,atrasado
EMP-0232,CLT-0069,fv,6702.74,4.6,60,6,2025-05-10,quitado
EMP-0313,CLT-0518,fin. veicular,358665.23,0.0426,120,63,2024-07-26,em dia
EMP-0274,CLT-0050,financiamento veicular,9970.09,,24,15,2018-12-11,atrasado
EMP-0201,CLT-0305,consignado,34016.35,5.2,120,121,2019-05-08,atrasado
EMP-0024,CLT-0709,fv,4907.57,4.2,120,30,2025-08-23,em dia
EMP-0033,CLT-0518,crédito imobiliário,2334.05,1.2,36,6,2019-07-31,quitado
EMP-0086,CLT-0116,credito pessoal,17914.01,5.4,60,11,2025-12-23,em dia
EMP-0138,CLT-0808,ci,34208.48,3.33,240,224,2018-12-18,em analise
EMP-0317,CLT-0157,credito pessoal,301547.29,,36,32,2023-04-06,atrasado
EMP-0052,CLT-0518,crédito pessoal,133881.83,1.11,60,59,2026-06-18,em dia
EMP-0104,CLT-0136,credito pessoal,294961.63,2.43,24,18,2021-11-06,em análise
EMP-0310,CLT-0696,consignado,133817.52,0.0514,12,10,2024-10-31,em dia
EMP-0208,CLT-0073,consignado,35936.55,2.51,60,14,2018-03-31,
EMP-0156,CLT-0802,fv,31963.98,2.0,36,0,2025-07-07,quitado
EMP-0008,CLT-0321,fin. veicular,358613.3,,12,2,2022-06-29,em dia
EMP-0082,CLT-0223,ci,5324.37,,240,64,2023-11-19,em dia
EMP-0293,CLT-0547,consignado,5403.82,5.32,36,12,2024-05-20,em dia
EMP-0158,CLT-0660,ci,317135.34,3.2,60,24,2018-05-21,em análise
EMP-0053,CLT-0030,crédito imobiliário,208697.15,,60,32,2022-08-14,em dia
EMP-0010,CLT-0574,crédito imobiliário,21799.64,5.2,24,22,2018-06-12,quitado
EMP-0264,clt-0016,cp,28339.76,2.7,72,34,2024-09-22,atrasado
EMP-0002,CLT-0192,cp,2642.7,,60,17,2018-03-17,em dia
EMP-0315,CLT-0020,consignado,1656.48,0.0371,72,45,2024-10-25,em dia
EMP-0137,CLT-0672,financiamento veicular,5591.37,2.41,48,33,2019-03-07,atrasado
EMP-0060,CLT-0189,fin. veicular,102938.37,2.3,120,111,2024-10-15,atrasado
EMP-0324,CLT-0072,credito imobiliario,258251.61,0.0512,24,8,2018-05-07,
EMP-0205,CLT-0432,crédito imobiliário,6693.34,,12,12,2024-05-09,em analise
EMP-0174,CLT-0042,consignado,57094.74,2.7,240,80,2022-02-02,em análise
EMP-0056,CLT-0519,consignado,12666.26,3.45,12,7,2026-02-18,em análise
EMP-0350,CLT-0221,consignado,8541.01,5.2,12,8,2019-06-01,em análise
EMP-0028,CLT-0525,cp,3034.35,,12,1,2020-06-22,em dia
EMP-0222,CLT-0701,credito imobiliario,228362.23,0.0104,24,21,2018-10-22,atrasado
EMP-0221,CLT-0789,crédito imobiliário,275584.21,5.5,72,5,2025-03-02,em dia
EMP-0335,CLT-0646,fin. veicular,34667.03,1.0,240,211,2018-01-31,quitado
EMP-0318,CLT-0381,crédito imobiliário,29707.59,3.4,72,3,2024-06-29,em dia
EMP-0040,CLT-0763,financiamento veicular,16480.53,4.5,36,35,2021-12-10,em dia
EMP-0136,CLT-0486,crédito imobiliário,3325.58,3.5,240,83,2025-02-25,em analise
EMP-0309,CLT-0521,consignado,50448.59,0.0424,120,27,2025-12-14,em análise
EMP-0031,CLT-0257,crédito imobiliário,20036.97,4.3,60,53,2022-12-23,atrasado
EMP-0342,CLT-0748,financiamento veicular,48064.17,4.6,36,19,2026-07-23,em dia
EMP-0154,CLT-0233,crédito pessoal,237823.18,0.0363,60,18,2025-07-26,em dia
EMP-0289,CLT-0583,consignado,182485.31,,240,207,2018-11-26,em dia
EMP-0186,CLT-0059,ci,196716.16,,72,70,2025-11-05,quitado
EMP-0275,CLT-0739,crédito pessoal,106980.62,0.027,12,7,2023-02-03,em dia
EMP-0197,clt-0623,fv,9479.85,1.9,24,20,2020-01-15,em dia
EMP-0251,CLT-0756,ci,7255.41,0.0139,240,97,2019-08-23,em dia
EMP-0050,CLT-0226,credito pessoal,4786.47,0.0124,60,30,2025-05-15,quitado
EMP-0332,CLT-0676,crédito imobiliário,5618.85,0.02,60,19,2026-06-20,em dia
EMP-0020,CLT-0144,financiamento veicular,45540.41,,60,21,2024-04-27,em dia
EMP-0111,CLT-0261,financiamento veicular,,0.018,240,147,2026-07-10,em análise
EMP-0292,CLT-0400,credito imobiliario,233239.83,2.6,12,6,2022-10-19,quitado
EMP-0072,CLT-0662,financiamento veicular,9738.95,2.03,24,17,2020-11-06,
EMP-0089,CLT-0516,cp,22462.17,1.2,72,61,2025-03-12,em dia
EMP-0301,CLT-0670,financiamento veicular,6292.23,,120,78,2019-10-04,em dia
EMP-0061,CLT-0801,credito pessoal,327856.94,1.8,24,16,2019-05-15,quitado
EMP-0115,clt-0686,financiamento veicular,2563.64,0.0217,72,66,2025-05-06,em dia
EMP-0272,CLT-0190,consignado,18560.32,4.51,48,34,2021-04-26,atrasado
EMP-0152,CLT-0182,financiamento veicular,2746.3,4.3,48,3,2026-05-21,em dia
EMP-0163,CLT-0050,crédito pessoal,3999.5,3.5,60,4,2022-12-03,em dia
EMP-0161,CLT-0089,cp,8847.99,1.8,120,98,2021-02-20,em dia
EMP-0091,CLT-0344,crédito imobiliário,8772.84,0.039,240,86,2023-11-24,em análise
EMP-0210,CLT-0491,credito pessoal,9881.59,0.0092,240,191,2024-04-03,em analise
EMP-0093,CLT-0728,fv,389348.86,,72,21,2024-06-03,em dia
EMP-0085,CLT-0781,fin. veicular,4015.59,0.0207,240,244,2024-08-17,atrasado
EMP-0173,CLT-0681,credito pessoal,53946.91,1.4,12,2,2020-11-04,atrasado
EMP-0246,clt-0397,crédito pessoal,329555.95,,240,4,2018-04-02,atrasado
EMP-0183,CLT-0819,cp,1404.2,3.5,120,52,2026-07-02,em dia
EMP-0076,CLT-0761,consignado,273909.45,0.0368,24,18,2026-01-17,em dia
EMP-0253,clt-0151,financiamento veicular,11848.7,,240,241,2021-01-27,em dia
EMP-0066,CLT-0418,consignado,355918.09,0.0213,240,91,2025-01-29,em dia
EMP-0023,CLT-0220,ci,6428.23,3.35,240,200,2025-10-11,em dia
EMP-0322,CLT-0336,crédito pessoal,260355.81,1.0,12,7,2023-03-01,atrasado
EMP-0109,CLT-0174,consignado,32971.37,1.87,12,6,2021-05-11,em dia
EMP-0048,CLT-0759,crédito imobiliário,5615.2,3.9,12,4,2023-10-13,em dia
EMP-0258,CLT-0543,ci,6708.52,1.0,240,17,2026-03-18,quitado
