Id_Emprestimo,cliente_id,Produto ,Valor Contratado,Taxa Juros a.m.,Qtd Parcelas,Parcelas Pagas,Data Contratação,Situação
EMP-0248,CLT-0368,FV,R$ 8079.37,5.4% a.m.,60,22 ,12-03-2024,em dia
EMP-0204,CLT-0039,Fin. Veicular,"4.118,24",0.0189,24,20,22/01/2018,em dia
EMP-0133,CLT-0749,CI,"R$ 5.161,89","3,2%",24,21 ,13/01/2019,Em análise
EMP-0119,CLT-0072,Consignado,"213.132,65",5.0% a.m.,12,11,2019-05-23,Em dia
EMP-0238,CLT-0662,credito pessoal,"R$ 38.072,55",2.6% a.m.,24,6 ,19/01/2022,Em dia
EMP-0281,CLT-0112,Fin. Veicular,R$ 2452.16,1.1% a.m.,120,34,2024-01-17,Em dia
EMP-0305,CLT-0607,Fin. Veicular,"305252,93",4.72,48,15 ,2018-06-03,Atrasado
EMP-0340,CLT-0210,Consignado,"R$ 5.912,23","5,0%",60,27,19-05-2018,em dia
EMP-0249,CLT-0776,CRÉDITO PESSOAL,45365.79,"2,7%",60,51,15-07-2023,EM DIA
EMP-0148,CLT-0188,Consignado,"8505,04",0.0515,72,70,28/02/2020,em dia
EMP-0083,CLT-0453,FV,"3.144,70",,48,26 ,20-ago-2018,Quitado
EMP-0004,CLT-0248,consignado,"R$ 2.568,04",2.3% a.m.,36,3,13-09-2021,Em análise
EMP-0054,CLT-0129,Financiamento Veicular,"26882,25",4.5% a.m.,36,14,01/05/2026,em dia
EMP-0105,CLT-0117,Crédito Imobiliário,"162.691,26",4.6% a.m.,120,8,08/07/2021,Em dia
EMP-0297,CLT-0179,consignado,"46.189,99",5.2% a.m.,72,51,2021-04-29,ATRASADO
EMP-0009,CLT-0438,CI,"8875,06",,60,52,08/06/2018,ATRASADO
EMP-0346,CLT-0460,CONSIGNADO,R$ 386969.97,,36,10 ,2020-10-07,Em dia
EMP-0169,CLT-0194,CI,55344.04,5.3% a.m.,24,8,03/03/2026,Em dia
EMP-0002,CLT-0192,CP,2642.70,,60,17,17/03/18,Em dia
EMP-0244,CLT-0815,consignado,"6.079,35","3,0%",120,84,2023-09-27,Em análise
EMP-0302,CLT-0109,CRÉDITO PESSOAL,R$ 344008.76,3.3% a.m.,48,18,03/10/2020,Em dia
EMP-0250,CLT-0536,CP,R$ 1801.22,4.8% a.m.,240,214,28/05/2025,Atrasado
EMP-0101,CLT-0472,CRÉDITO PESSOAL,R$ 28171.84,4.71,240,60 ,17-02-2020,atrasado
EMP-0323,CLT-0461,credito imobiliario,"R$ 29.535,52",5.4% a.m.,12,10,2026-03-01,atrasado
EMP-0247,CLT-0369,CONSIGNADO,"252.219,27",3.08,72,40,22/10/2025,EM DIA
EMP-0178,CLT-0301,Financiamento Veicular,R$ 33859.92,5.13,240,9,23/06/2026,Em dia
EMP-0011,CLT-0537,Financiamento Veicular,R$ 47955.08,0.0513,12,2 ,25-02-2019,Atrasado
EMP-0045,CLT-0273,CRÉDITO PESSOAL,"R$ 7.644,11",3.6% a.m.,36,19 ,11/07/2025,Quitado
EMP-0041,CLT-0721,consignado,"6.841,51","2,7%",12,2 ,09-ago-2025,quitado
EMP-0203,CLT-0001,CP,"1.424,85","2,7%",36,33,2023-06-08,ATRASADO
EMP-0242,CLT-0400,financiamento veicular,"7.239,35","4,1%",60,17,20/07/2018,atrasado
EMP-0191,CLT-0334,Fin. Veicular,R$ 275177.33,"4,9%",72,66,07/02/25,Em dia
EMP-0243,CLT-0488,Fin. Veicular,"30.436,44",5.26,24,20 ,04-06-2025,Atrasado
EMP-0212,CLT-0123,Crédito Pessoal,"1.761,10",,36,9,23/04/2020,Quitado
EMP-0336,CLT-0064,credito pessoal,,1.69,48,46 ,2018-06-14,Atrasado
EMP-0357,CLT-0249,credito pessoal,"8226,22",0.0547,12,0,2025-04-04,em dia
EMP-0162,CLT-0752,CRÉDITO PESSOAL,R$ 2492.18,1.94,48,11,2018-08-25,Em dia
EMP-0021,CLT-0199,Fin. Veicular,263566.24,0.0434,24,3,11-08-2019,ATRASADO
EMP-0211,CLT-0042,Crédito Imobiliário,"R$ 4.064,62",,120,19,2020-03-17,Quitado
EMP-0286,CLT-0366,Consignado,"8.858,22","5,0%",24,13,11-09-2020,Em dia
EMP-0166,CLT-0402,CRÉDITO PESSOAL,"48555,37","5,1%",72,45,2019-10-07,Atrasado
EMP-0159,CLT-0139,Consignado,R$ 16362.22,1.00,120,98,18/06/2023,em dia
EMP-0019,CLT-0230,CI,"R$ 5.363,76",4.7% a.m.,24,11,05/03/2025,Em dia
EMP-0141,CLT-0263,CRÉDITO PESSOAL,"R$ 7.552,40",2.78,120,48 ,31/12/2023,Quitado
EMP-0112,CLT-0374,consignado,347279.06,0.0228,12,13 ,24/05/2018,ATRASADO
EMP-0351,CLT-0773,Financiamento Veicular,"R$ 59.308,66","2,6%",72,53,2024-08-19,Em dia
EMP-0215,CLT-0555,CP,"R$ 165.907,78","3,1%",12,10,2025-08-01,
EMP-0337,CLT-0490,CP,"51.688,16",3.20,48,17 ,06/03/2024,atrasado
EMP-0356,CLT-0603,CRÉDITO PESSOAL,"1.293,31","4,1%",24,5 ,2024-02-15,atrasado
EMP-0236,CLT-0700,CRÉDITO PESSOAL,"R$ 82.597,25",1.66,72,53 ,16-06-2020,Atrasado
EMP-0214,CLT-0380,credito imobiliario,"20105,56",5.28,36,6 ,16/12/23,EM DIA
EMP-0073,CLT-0694,CP,"R$ 6.309,16","1,6%",240,33 ,29/08/2019,Atrasado
EMP-0171,CLT-0642,credito pessoal,"R$ 106.871,08","1,6%",72,4 ,14-07-2018,Em dia
EMP-0358,CLT-0681,FV,"23928,03","3,1%",12,0 ,2023-03-16,Quitado
EMP-0326,CLT-0776,Fin. Veicular,"68501,29","2,8%",72,27,29-abr-2021,Atrasado
EMP-0114,CLT-0088,CP,"14.242,30",5.27,48,47,15/02/2018,EM DIA
EMP-0081,CLT-0466,CI,4423.51,"1,3%",48,44 ,13/10/2021,quitado
EMP-0131,CLT-0624,FV,"39922,36",3.93,12,7,2023-11-03,em dia
EMP-0240,CLT-0494,CI,R$ 159332.34,4.83,120,45 ,2020-10-04,quitado
EMP-0147,CLT-0174,CP,"30.833,79","5,1%",72,17,19/07/2021,em dia
EMP-0194,CLT-0319,credito pessoal,-,3.62,24,23,19/05/2022,Em dia
EMP-0279,CLT-0798,Consignado,sem info,0.0213,72,69 ,08-fev-2024,Em dia
EMP-0263,CLT-0627,financiamento veicular,"R$ 37.055,21",5.4% a.m.,48,9,26/06/2024,Em análise
EMP-0027,CLT-0582,Fin. Veicular,"R$ 7.338,20",0.0146,48,43 ,2024-04-29,em dia
EMP-0001,CLT-0253,consignado,"5960,13",2.1% a.m.,12,0,10/04/2023,Em dia
EMP-0142,CLT-0402,credito pessoal,,1.42,24,9 ,28/03/2026,em analise
EMP-0071,CLT-0520,credito imobiliario,"R$ 17.727,98",2.9% a.m.,48,30,25/01/21,ATRASADO
EMP-0034,CLT-0714,CI,"R$ 35.481,42",3.88,24,4,21/10/2020,Em dia
EMP-0025,CLT-0454,consignado,"46926,90",0.0382,72,18,10/05/2020,Em dia
EMP-0106,CLT-0260,CI,"49.668,35",0.0488,120,75,03/03/2020,Em dia
EMP-0070,CLT-0629,CRÉDITO PESSOAL,"R$ 59.551,15",2.17,72,11,26/07/2025,Em dia
EMP-0006,CLT-0128,Financiamento Veicular,"19.970,67",4.99,36,21,09-04-2022,Em análise
EMP-0327,CLT-0815,CI,"6.612,12",5.06,48,23 ,2020-05-12,Em dia
EMP-0196,CLT-0040,Crédito Imobiliário,"R$ 4.768,24",,60,21,10-jun-2019,Quitado
EMP-0184,CLT-0544,CRÉDITO PESSOAL,"5.537,86","2,5%",24,6 ,21-jan-2022,atrasado
EMP-0270,CLT-0421,FV,"339471,27",4.07,48,0,2021-02-01,Em dia
EMP-0035,CLT-0681,consignado,R$ 40929.94,"3,0%",48,6,2025-11-19,Em dia
EMP-0233,CLT-0347,Crédito Imobiliário,5555.24,0.0189,24,22,2023-09-20,EM DIA
EMP-0107,CLT-0015,Financiamento Veicular,"48.138,04",4.98,12,4,27/08/19,Quitado
EMP-0347,CLT-0673,CP,-,0.0350,120,111,10-07-2021,Em dia
EMP-0017,CLT-0504,Consignado,"1.501,20","3,4%",24,17,2024-04-27,Em dia
EMP-0026,CLT-0764,FV,104160.73,"3,3%",48,18 ,2020-12-23,Quitado
EMP-0288,CLT-0396,credito pessoal,9042.77,"4,9%",72,43 ,29/05/2018,Em análise
EMP-0103,CLT-0020,CP,R$ 52039.59,"1,8%",60,34,2020-01-06,Quitado
EMP-0051,CLT-0583,Financiamento Veicular,59512.55,0.0098,24,22,2020-08-18,atrasado
EMP-0207,CLT-0800,Crédito Pessoal,"R$ 183.239,24",0.0190,60,38,10/05/2021,Atrasado
EMP-0069,CLT-0349,consignado,"4910,51",1.56,48,39,03/06/2020,Quitado
EMP-0120,clt-0629,Crédito Imobiliário,"52.122,15",5.1% a.m.,120,74,29/04/2026,Atrasado
EMP-0198,CLT-0642,Crédito Imobiliário,R$ 151583.07,"2,7%",120,26 ,28/04/2020,quitado
EMP-0217,CLT-0651,credito pessoal,"R$ 173.916,39",4.4% a.m.,72,61 ,15/02/2023,Em dia
EMP-0037,CLT-0362,Consignado,"R$ 46.680,85",0.0304,72,63 ,2019-07-23,quitado
EMP-0012,CLT-0537,credito pessoal,"R$ 4.198,23","5,3%",48,1,2024-11-27,Em dia
EMP-0291,CLT-0420,CONSIGNADO,"R$ 25.852,89","4,8%",240,141 ,04/02/2018,Em dia
EMP-0124,CLT-0172,CP,"R$ 44.185,12",5.0% a.m.,72,37,2018-09-16,Atrasado
EMP-0155,CLT-0019,Crédito Pessoal,1186.58,"1,7%",24,19,11/07/2021,Em dia
EMP-0331,CLT-0252,consignado,"9.914,81","2,6%",240,228 ,2020-12-09,Em dia
EMP-0074,CLT-0419,CRÉDITO PESSOAL,"6193,61",5.3% a.m.,48,25 ,2026-05-12,Em dia
EMP-0234,CLT-0272,CONSIGNADO,"R$ 3.313,94",1.2% a.m.,240,30 ,06/03/20,Em dia
EMP-0330,CLT-0390,credito pessoal,"R$ 338.574,42",1.56,48,4 ,19/01/2020,Em dia
EMP-0181,CLT-0632,Crédito Pessoal,"49.004,31",3.36,48,41,17/09/2018,quitado
EMP-0239,CLT-0689,financiamento veicular,"6.108,39","2,3%",12,5 ,02/04/2026,EM DIA
EMP-0095,CLT-0681,CRÉDITO PESSOAL,21510.45,"4,5%",24,22,09/09/2023,Em dia
EMP-0254,CLT-0788,Crédito Pessoal,"R$ 38.050,80","4,8%",24,20 ,2026-01-25,Quitado
EMP-0319,CLT-0074,credito pessoal,9393.48,5.13,48,2,2024-01-07,Em dia
EMP-0043,CLT-0758,FV,"R$ 8.707,93","1,4%",72,6 ,26/11/21,Atrasado
EMP-0146,CLT-0136,credito pessoal,"R$ 40.100,41",4.2% a.m.,72,8,26-05-2024,Em dia
EMP-0087,CLT-0525,Financiamento Veicular,178471.45,,48,32 ,31-12-2023,Quitado
EMP-0042,CLT-0002,Crédito Pessoal,"24.002,53","2,6%",60,55,2019-10-13,atrasado
EMP-0282,CLT-0076,credito pessoal,1571.36,3.0% a.m.,36,27,2023-01-26,Em dia
EMP-0018,CLT-0540,CONSIGNADO,"5.640,01","2,0%",120,76,30/09/18,Em dia
EMP-0175,CLT-0334,CI,"9.013,39",0.0409,120,31,2019-12-06,Em dia
EMP-0265,CLT-0592,Financiamento Veicular,"4837,28","2,6%",60,60,21-jul-2021,quitado
EMP-0145,CLT-0460,Crédito Pessoal,"53.962,93",2.00,240,198,03-jun-2025,Em dia
EMP-0064,CLT-0734,credito imobiliario,"R$ 317.539,74",0.0359,12,11,2019-10-26,EM DIA
EMP-0343,CLT-0793,credito pessoal,"1.159,61",,240,172 ,23/07/2018,Em dia
EMP-0287,CLT-0341,Fin. Veicular,"R$ 383.703,57","3,8%",24,17 ,2019-04-06,Em análise
EMP-0176,CLT-0468,CI,3348.09,0.0488,72,26 ,05/10/22,Quitado
EMP-0134,CLT-0113,CRÉDITO PESSOAL,14328.11,"3,9%",36,0,10/10/2020,EM DIA
EMP-0036,CLT-0602,Crédito Imobiliário,6897.13,,72,44,2019-11-11,Em dia
EMP-0223,CLT-0381,Fin. Veicular,"R$ 7.871,61","1,3%",240,136,2020-03-15,quitado
EMP-0338,CLT-0038,FV,"R$ 7.787,38",3.79,36,9,2023-04-22,Quitado
EMP-0311,CLT-0681,Consignado,"R$ 245.039,78",3.7% a.m.,60,11,2025-06-08,Em dia
EMP-0102,CLT-0565,credito pessoal,"90.609,34","1,3%",120,82 ,06-02-2021,Quitado
EMP-0077,CLT-0774,CP,"9651,65",0.0449,72,65,20/04/2026,EM DIA
EMP-0084,CLT-0108,FV,3989.72,"3,6%",240,239 ,03-10-2019,em dia
EMP-0170,CLT-0411,financiamento veicular,"5.981,41",3.77,24,21,02/10/2025,Atrasado
EMP-0299,CLT-0417,FV,"R$ 165.132,91",2.5% a.m.,24,2 ,17/12/2024,quitado
EMP-0285,CLT-0734,Crédito Imobiliário,"53.673,39",3.31,48,11,24/07/2025,Em dia
EMP-0329,CLT-0352,Crédito Imobiliário,,"5,3%",240,190,08/02/26,Em dia
EMP-0295,CLT-0119,credito imobiliario,"R$ 4.240,30",0.0151,24,23,2024-09-19,Em dia
EMP-0213,CLT-0314,Financiamento Veicular,"R$ 24.941,81",0.0371,60,6 ,09/01/20,Em dia
EMP-0135,CLT-0033,Financiamento Veicular,"R$ 70.183,50",3.0% a.m.,36,3 ,13-abr-2026,quitado
EMP-0308,CLT-0253,credito pessoal,"289.181,35",,240,201,2025-10-23,Quitado
EMP-0059,CLT-0626,FV,R$ 9335.58,"1,2%",48,29 ,16-jun-2018,Em análise
EMP-0321,CLT-0341,Financiamento Veicular,"R$ 3.272,57","1,2%",240,225 ,26-10-2024,
EMP-0298,CLT-0435,CI,"R$ 1.536,07",4.48,72,66 ,18-09-2024,Em dia
EMP-0016,CLT-0305,credito pessoal,2130.08,1.7% a.m.,48,19 ,21/05/2024,quitado
EMP-0092,CLT-0088,credito imobiliario,R$ 1206.69,"4,4%",72,69,28/04/20,em dia
EMP-0348,CLT-0636,CONSIGNADO,"39.461,22",3.4% a.m.,60,28 ,2022-05-06,Quitado
EMP-0256,CLT-0388,Consignado,"R$ 6.640,26",3.84,24,21,2024-01-17,Atrasado
EMP-0097,CLT-0495,CRÉDITO PESSOAL,"216919,11",0.0244,24,24 ,31/07/2025,Em dia
EMP-0022,CLT-0541,CP,"57.716,54",2.8% a.m.,24,12 ,09/11/2024,Em dia
EMP-0190,CLT-0486,CRÉDITO PESSOAL,R$ 2122.55,1.5% a.m.,36,15,10/12/2018,Em dia
EMP-0200,CLT-0327,credito pessoal,"46.578,71",0.0383,60,18,01/05/2021,Quitado
EMP-0049,CLT-0358,consignado,"R$ 13.891,28",0.0169,36,16,27-04-2024,ATRASADO
EMP-0168,CLT-0641,CP,"R$ 21.186,42",1.43,60,56,14/10/2025,Atrasado
EMP-0261,CLT-0051,Crédito Imobiliário,"45.396,61",0.0166,48,4,2026-04-09,Atrasado
EMP-0062,clt-0382,CI,"52532,61",0.0204,60,1 ,15/04/2024,Em dia
EMP-0125,CLT-0186,CI,"R$ 284.352,45",4.1% a.m.,12,9 ,2023-05-10,Em dia
EMP-0140,CLT-0449,consignado,"R$ 8.295,17","4,6%",72,62,09/08/2024,Em dia
EMP-0003,CLT-0566,consignado,"6.422,02",,240,136,2021-04-07,Em dia
EMP-0158,CLT-0660,CI,"317.135,34",3.2% a.m.,60,24 ,2018-05-21,Em análise
EMP-0231,CLT-0612,financiamento veicular,R$ 5549.58,4.4% a.m.,36,21,03/05/2026,Em análise
EMP-0280,CLT-0017,Crédito Pessoal,"R$ 2.139,80","2,9%",72,45 ,08-mai-2025,quitado
EMP-0268,CLT-0388,credito imobiliario,,"2,5%",36,33,2021-11-02,Atrasado
EMP-0013,CLT-0105,CI,"R$ 7.635,16",,12,1,2025-11-30,em analise
EMP-0225,CLT-0172,Crédito Imobiliário,"R$ 392.970,62",0.0487,48,36 ,21/02/2018,atrasado
EMP-0255,CLT-0563,CI,"R$ 377.127,32",0.9% a.m.,240,89,13/04/2024,em dia
EMP-0110,CLT-0382,consignado,"R$ 3.650,99",1.54,24,10 ,16/01/2021,Em dia
EMP-0047,CLT-0717,CRÉDITO PESSOAL,"R$ 217.102,33",3.65,24,8 ,02/10/2023,Atrasado
EMP-0128,CLT-0606,financiamento veicular,"3.516,77","5,1%",240,113 ,04/01/2026,em dia
EMP-0068,CLT-0663,Crédito Pessoal,"2708,66",,240,197,02/06/2024,Em análise
EMP-0260,CLT-0765,credito imobiliario,"14139,07",0.0476,240,158,23-01-2018,Quitado
EMP-0129,CLT-0688,FV,1365.69,4.17,240,112,29/09/2019,Em dia
EMP-0058,CLT-0055,Fin. Veicular,"R$ 19.037,67",1.6% a.m.,72,61,02/03/2020,Em dia
EMP-0267,CLT-0761,CP,"375068,71",0.0410,60,29,2026-04-16,Atrasado
EMP-0296,CLT-0685,Fin. Veicular,"R$ 290.724,07","2,4%",12,11,07/12/2022,Quitado
EMP-0276,CLT-0342,Financiamento Veicular,"2430,72","3,1%",12,11 ,02-12-2021,em dia
EMP-0180,CLT-0333,financiamento veicular,"12800,84",1.81,120,124 ,2026-05-15,Atrasado
EMP-0334,CLT-0379,CP,"46.969,81","2,1%",120,48 ,28-12-2025,Quitado
EMP-0300,CLT-0578,Crédito Pessoal,"R$ 21.320,53",3.23,48,39,04-12-2021,em dia
EMP-0193,CLT-0149,Consignado,"257.538,02","5,0%",60,1 ,07/12/2023,Em dia
EMP-0316,CLT-0352,Financiamento Veicular,"R$ 7.847,00",3.1% a.m.,120,39,16-11-2019,Em dia
EMP-0088,CLT-0535,Financiamento Veicular,"R$ 6.041,44",0.0145,120,49,2018-04-12,Quitado
EMP-0067,CLT-0584,FV,R$ 173677.18,"1,5%",24,14,01-03-2019,Em dia
EMP-0355,CLT-0108,CONSIGNADO,"R$ 9.310,69",,36,6 ,27-05-2026,em analise
EMP-0266,CLT-0467,financiamento veicular,R$ 5820.75,4.79,120,17 ,2020-04-26,em dia
EMP-0360,CLT-0188,Consignado,"2.906,56",4.8% a.m.,240,240,31/05/2023,em dia
EMP-0188,CLT-0242,credito imobiliario,sem info,,120,24,19-03-2020,Em dia
EMP-0345,CLT-0464,credito imobiliario,"R$ 7.811,92",0.0455,36,6 ,03-04-2022,Em dia
EMP-0241,CLT-0720,Financiamento Veicular,"30.645,58",0.0270,72,20,2021-03-25,Em dia
EMP-0257,CLT-0191,Fin. Veicular,7773.05,0.0392,12,7,21-01-2026,Em dia
EMP-0100,CLT-0119,Financiamento Veicular,"R$ 1.518,85",,36,7,2021-12-16,atrasado
EMP-0079,CLT-0595,FV,"R$ 177.011,91",,60,25,22/03/2019,Quitado
EMP-0235,CLT-0606,CONSIGNADO,R$ 46467.50,1.5% a.m.,60,4,12/09/23,EM DIA
EMP-0278,CLT-0326,FV,"R$ 2.053,20",0.0396,120,111,24/01/2019,quitado
EMP-0219,CLT-0568,Consignado,"2796,81",2.49,72,31,27-03-2023,atrasado
EMP-0116,CLT-0223,Crédito Imobiliário,"R$ 2.872,31","1,0%",60,25 ,12-05-2025,Atrasado
EMP-0314,CLT-0715,FV,"R$ 42.752,96",,24,17 ,2020-01-27,Em dia
EMP-0108,CLT-0673,CRÉDITO PESSOAL,"6.206,12","4,2%",12,8,2023-07-29,atrasado
EMP-0306,CLT-0479,financiamento veicular,"R$ 3.693,03",3.5% a.m.,240,1 ,20-out-2020,Em dia
EMP-0165,CLT-0480,CONSIGNADO,16774.09,0.0505,24,23,08/02/2020,EM DIA
EMP-0269,CLT-0377,financiamento veicular,"9.866,14","4,4%",60,19,2022-11-08,em dia
EMP-0271,CLT-0771,consignado,"R$ 2.420,11",,48,6,2023-07-03,Quitado
EMP-0353,CLT-0437,Consignado,7037.97,"5,2%",240,229,2026-05-30,Em dia
EMP-0284,CLT-0077,credito pessoal,"96.142,52",0.0110,240,199,17/05/2018,em dia
EMP-0096,CLT-0124,CONSIGNADO,R$ 143991.25,"2,4%",120,83 ,21/07/2021,Em análise
EMP-0121,CLT-0105,CRÉDITO PESSOAL,"R$ 26.642,16",,240,219,02/01/2021,Em dia
EMP-0160,CLT-0601,CONSIGNADO,"6343,24",0.0175,48,12 ,2025-05-20,Em dia
EMP-0038,CLT-0289,credito pessoal,sem info,"1,7%",12,2 ,25/09/20,Quitado
EMP-0187,CLT-0612,FV,"R$ 246.100,74","3,0%",12,5,2021-12-31,Em dia
EMP-0354,CLT-0028,consignado,"4.399,02",0.0347,12,5,23/02/2022,EM DIA
EMP-0126,CLT-0619,financiamento veicular,"9034,08","4,9%",240,68,01/01/2021,Em dia
EMP-0216,CLT-0066,Consignado,122053.14,1.4% a.m.,12,8 ,2022-09-15,Quitado
EMP-0090,CLT-0560,FV,5722.72,"1,9%",24,2 ,2023-12-02,Em dia
EMP-0320,CLT-0288,financiamento veicular,"285.442,14",,48,3,09/09/2024,Quitado
EMP-0123,CLT-0700,CONSIGNADO,"R$ 8.595,69",5.24,72,31,15/08/21,ATRASADO
EMP-0339,CLT-0682,CRÉDITO PESSOAL,"56.894,81",4.1% a.m.,24,22,07/01/2019,Quitado
EMP-0015,CLT-0777,Crédito Imobiliário,58279.10,"3,7%",72,49,2023-09-05,em dia
EMP-0044,CLT-0101,CONSIGNADO,5033.98,"3,1%",24,4,07/09/2022,Em análise
EMP-0220,CLT-0511,CONSIGNADO,"R$ 288.266,63","1,9%",48,37 ,2019-06-08,Em dia
EMP-0151,CLT-0333,Fin. Veicular,,"3,3%",120,51,20/02/24,ATRASADO
EMP-0182,CLT-0666,CI,R$ 23471.51,"1,7%",12,10 ,18/09/2022,quitado
EMP-0283,CLT-0213,credito pessoal,"6.895,46","1,0%",24,15,31-08-2022,em analise
EMP-0227,CLT-0291,credito imobiliario,"1749,81",0.0184,60,4,2019-04-29,
EMP-0218,CLT-0248,Consignado,"6045,75",2.7% a.m.,120,103,2023-08-09,Quitado
EMP-0127,CLT-0333,CONSIGNADO,"35598,37",4.6% a.m.,60,34,2018-12-03,Atrasado
EMP-0032,CLT-0612,Crédito Imobiliário,5944.89,2.18,240,213,2026-03-03,Em dia
EMP-0014,CLT-0360,CP,34662.15,0.0156,24,0 ,03/01/2024,atrasado
EMP-0232,CLT-0069,FV,"6.702,74",4.6% a.m.,60,6 ,2025-05-10,Quitado
EMP-0313,CLT-0518,Fin. Veicular,"R$ 358.665,23",0.0426,120,63,26/07/2024,Em dia
EMP-0274,CLT-0050,Financiamento Veicular,"9.970,09",,24,15,12-11-2018,Atrasado
EMP-0201,CLT-0305,consignado,34016.35,5.2% a.m.,120,121 ,05-ago-2019,atrasado
EMP-0024,CLT-0709,FV,4907.57,4.2% a.m.,120,30 ,2025-08-23,Em dia
EMP-0033,CLT-0518,Crédito Imobiliário,"R$ 2.334,05","1,2%",36,6,31/07/19,quitado
EMP-0086,CLT-0116,credito pessoal,17914.01,"5,4%",60,11,23-12-2025,Em dia
EMP-0138,CLT-0808,CI,R$ 34208.48,3.33,240,224,2018-12-18,em analise
EMP-0317,CLT-0157,credito pessoal,"R$ 301.547,29",,36,32,2023-04-06,atrasado
EMP-0052,CLT-0518,Crédito Pessoal,"R$ 133.881,83",1.11,60,59,18/06/2026,Em dia
EMP-0104,CLT-0136,credito pessoal,"R$ 294.961,63",2.43,24,18 ,11/06/21,Em análise
EMP-0310,CLT-0696,consignado,"R$ 133.817,52",0.0514,12,10,31-out-2024,Em dia
EMP-0208,CLT-0073,consignado,35936.55,2.51,60,14 ,31-mar-2018,
EMP-0156,CLT-0802,FV,"R$ 31.963,98","2,0%",36,0,2025-07-07,Quitado
EMP-0008,CLT-0321,Fin. Veicular,358613.30,,12,2,29/06/2022,Em dia
EMP-0082,CLT-0223,CI,"5324,37",,240,64,19/11/2023,Em dia
EMP-0293,CLT-0547,CONSIGNADO,R$ 5403.82,5.32,36,12,20/05/2024,Em dia
EMP-0158,CLT-0660,CI,"317.135,34",3.2% a.m.,60,24 ,2018-05-21,Em análise
EMP-0053,CLT-0030,Crédito Imobiliário,"208.697,15",,60,32 ,14/08/2022,Em dia
EMP-0010,CLT-0574,Crédito Imobiliário,21799.64,"5,2%",24,22,06-12-2018,Quitado
EMP-0264,clt-0016,CP,"R$ 28.339,76",2.7% a.m.,72,34,2024-09-22,Atrasado
EMP-0002,CLT-0192,CP,2642.70,,60,17,17/03/18,Em dia
EMP-0315,CLT-0020,CONSIGNADO,"R$ 1.656,48",0.0371,72,45,2024-10-25,Em dia
EMP-0137,CLT-0672,Financiamento Veicular,"R$ 5.591,37",2.41,48,33,2019-03-07,Atrasado
EMP-0060,CLT-0189,Fin. Veicular,"102.938,37",2.3% a.m.,120,111 ,2024-10-15,Atrasado
EMP-0324,CLT-0072,credito imobiliario,"R$ 258.251,61",0.0512,24,8 ,2018-05-07,
EMP-0205,CLT-0432,Crédito Imobiliário,"6.693,34",,12,12,2024-05-09,em analise
EMP-0174,CLT-0042,Consignado,"57.094,74","2,7%",240,80,2022-02-02,Em análise
EMP-0056,CLT-0519,CONSIGNADO,"R$ 12.666,26",3.45,12,7,18/02/2026,Em análise
