id_conta;ID_CLIENTE;Agência;Tipo de Conta;Saldo Atual;Data Abertura ;STATUS;Limite Cheque Especial
CT-00522;CLT-0443;0102;Corrente;45.817,56;23/08/2017;ATIVA;R$ 10.000,00
CT-00959;CLT-0241;0521;Corrente;67891,66;2020-02-09;ATIVA;R$ 10.000,00
CT-00507;CLT-0279;0102;corrente;68.989,31;26-01-2017;ativa;R$ 1000.00
CT-00418;CLT-0405;1200;CORRENTE;84.622,20;03/05/2022;Encerrada;R$ 0,00
CT-00093;CLT-0056;0521;salario;(56.416,56);2017-02-21;Ativa;R$ 0,00
CT-00752;CLT-0734;0001;POUPANÇA;22.206,02;06/02/2015;Ativa;R$ 500,00
CT-00459;CLT-0540;0034;Corrente;(62.467,96);03/05/2019;Ativa;2.500,00
CT-00538;clt-0428;0102;Poupança;-;27/12/23;Ativa;0,00
CT-00614;CLT-0788;0347;CORRENTE;58.258,74;19-02-2023;ativa;500.00
CT-00086;CLT-0675;0001;Corrente;R$ 30564.92;2020-05-01;Ativa;0,00
CT-00157;CLT-0608;1200;corrente;(9.902,53);2023-02-11;Ativa;2500,00
CT-00038;CLT-0742;0347;corrente;71.173,19;23/01/2015;Ativa;0.00
CT-00484;CLT-0842;0102;Corrente;82.755,27;28/04/2017;Encerrada;500,00
CT-00490;CLT-0764;0034;salário;44.307,45;2022-08-22;ATIVA;10.000,00
CT-00743;CLT-0295;0102;CORRENTE;39500.92;23-09-2020;Ativa;sem info
CT-00619;CLT-0590;0034;Salário;1760.41;2018-05-10;Encerrada;R$ 5.000,00
CT-00199;CLT-0733;1200;corrente;R$ 76.784,94;21/03/15;ativa;R$ 5000.00
CT-00616;CLT-0437;0034;Corrente;34.089,24;19/05/2025;Encerrada;R$ 0,00
CT-00257;CLT-0245;0034;Corrente;7949,12;2022-06-30;Ativa;R$ 500,00
CT-00317;CLT-0403;0001;c/c;46.687,45;2024-03-19;Ativa;R$ 0,00
CT-00692;CLT-0455;0034;corrente;R$ 17.038,09;14-02-2019;ATIVA;R$ 10000.00
CT-00658;CLT-0207;0102;Corrente;R$ 1.865,18;11/10/2025;;500.00
CT-00881;clt-0265;0102;salário;82.408,12;24/04/2020;ativa;1000.00
CT-00805;CLT-0768;0034;Corrente;31030.85;20/06/2022;Ativa;1.000,00
CT-00168;CLT-0322;0102;Poupança;R$ 21.444,76;03-04-2019;Ativa;R$ 1.000,00
CT-00895;CLT-0585;0102;corrente;39.507,77;27/05/2019;ativa;0,00
CT-00192;CLT-0697;0034;Poupança;R$ 81.244,18;21/09/2021;Encerrada;R$ 5000.00
CT-00413;CLT-0453;1200;Conta Salário;36201.35;2025-04-29;ATIVA;5000.00
CT-00307;CLT-0707;0001;corrente;82.470,75;04-07-2021;Ativa;5000.00
CT-00907;CLT-0443;0001;SALÁRIO;72615.15;27-set-2021;;R$ 2.500,00
CT-00790;CLT-0293;0347;Salário;(47.563,35);12/02/2018;Bloqueada;1000.00
CT-00474;CLT-0720;0001;salário;(16.248,34);2022-05-06;Bloqueada;5.000,00
CT-00360;CLT-0742;0102;Poupança;8.619,34;21/12/2025;Ativa;R$ 0.00
CT-00733;CLT-0280;0102;corrente;44371.63;26-01-2022;Ativa;2500.00
CT-00391;CLT-0394;0034;CORRENTE;N/A;09/05/2017;ATIVA;500,00
CT-00572;CLT-0161;0034;POUPANCA;R$ 36.250,75;2020-12-05;Ativa;0.00
CT-00155;CLT-0411;0102;CC;79068.67;12-out-2025;Ativa;0,00
CT-00517;CLT-0570;0347;salario;73043.25;07/07/2015;Ativa;2500,00
CT-00245;CLT-0052;0034;Corrente;1815.17;2019-03-25;Ativa;R$ 0,00
CT-00047;CLT-0045;0102;corrente;28557.54;23/06/2025;ATIVA;2500,00
CT-00679;CLT-0042;0347;Poupança;R$ 79.436,32;2023-11-28;Ativa;R$ 500,00
CT-00523;CLT-0431;0102;Corrente;R$ 37.937,91;29/10/2022;Ativa;0.00
CT-00953;CLT-0334;0347;c/c;28.761,90;08-03-2022;Ativa;R$ 10.000,00
CT-00610;CLT-0318;1200;CC;7.566,16;15/08/2023;Ativa;1000.00
CT-00829;CLT-0306;1200;Poupança;62.526,02;17/07/23;ativa;0,00
CT-00899;CLT-0350 ;0001;Poupança;48.164,81;07/02/18;encerrada;500,00
CT-00502;CLT-0370;0001;Corrente;R$ 22.176,88;2019-04-26;Ativa;10.000,00
CT-00006;CLT-0135;0521;c/c;29.448,85;11/10/2016;ATIVA;1.000,00
CT-00866;CLT-0314;0034;poupança;-;2025-12-05;Bloqueada;R$ 1.000,00
CT-00956;CLT-0164;0347;poupanca;R$ 43.040,43;07/11/2019;Ativa;R$ 10.000,00
CT-00888;CLT-0436;1200;corrente;55.337,64;2024-09-05;ativa;R$ 2.500,00
CT-00566;CLT-0216;0521;Poupança;55373.78;2018-06-11;Ativa;-
CT-00935;CLT-0120;0102;corrente;R$ 60.224,16;2024-05-14;Ativa;5000.00
CT-00089;CLT-0440;0034;c/c;61.722,78;26/02/2018;ATIVA;500,00
CT-00642;CLT-0277;0034;Corrente;79.691,44;17-04-2021;encerrada;1000.00
CT-00019;CLT-0626;1200;POUPANCA;R$ 35.425,05;2020-04-18;Bloqueada;10.000,00
CT-00958;CLT-0379;0347;Corrente;(84.892,22);10/05/2015;Ativa;0.00
CT-00281;CLT-0529 ;0001;Corrente;25104.83;30/07/16;Ativa;R$ 10.000,00
CT-00382;CLT-0095;1200;poupança;R$ 13453.70;2015-10-16;Ativa;R$ 1000.00
CT-00393;CLT-0641;0521;PP;R$ 38880.61;06/07/2018;Ativa;10.000,00
CT-00351;CLT-0328;0347;Poupança;68585.69;17-11-2015;Ativa;R$ 5.000,00
CT-00215;CLT-0394;0034;corrente;17.845,38;2020-05-18;ativa;5000.00
CT-00670;CLT-0761;1200;POUPANCA;75313,19;2022-12-09;Ativa;R$ 0,00
CT-00696;CLT-0562;0034;CORRENTE;54072.28;30-11-2017;Ativa;R$ 2500.00
CT-00944;CLT-0028;0347;CORRENTE;R$ 40.521,55;23/03/2018;bloqueada;R$ 500,00
CT-00042;CLT-0324;0102;Corrente;R$ 19.183,64;23-10-2025;Ativa;1000.00
CT-00169;CLT-0015;0521;POUPANCA;42605.50;11/06/2025;Bloqueada;R$ 1.000,00
CT-00691;CLT-0484;0347;Corrente;(27.119,04);2025-10-13;ATIVA;500,00
CT-00520;CLT-0596;0001;Poupança;(12.894,04);2022-10-27;Ativa;2.500,00
CT-00508;CLT-0543;0347;POUPANÇA;24584.41;06/04/20;ATIVA;R$ 5.000,00
CT-00547;CLT-0861;0347;Corrente;R$ 29.310,08;15-04-2021;Ativa;0,00
CT-00296;CLT-0554;0102;Poupança;R$ 64.814,34;21/07/25;Ativa;R$ 10.000,00
CT-00536;CLT-0043;0001;poupança;R$ 207.12;31-01-2022;Ativa;0.00
CT-00228;CLT-0268;0347;Corrente;sem info;21/10/2018;Ativa;R$ 5000.00
CT-00930;CLT-0115;0347;salário;R$ 51.877,28;29/11/2025;Ativa;R$ 0,00
CT-00214;CLT-0195;0347;poupança;N/A;02/07/2024;ATIVA;5000.00
CT-00352;CLT-0110;1200;Poupança;46357.38;18/08/2020;ATIVA;1.000,00
CT-00461;CLT-0536;0001;corrente;32591,37;11/02/22;Ativa;R$ 0,00
CT-00271;CLT-0076;0347;Corrente;R$ 5.309,69;13-04-2024;encerrada;500,00
CT-00660;CLT-0874;0102;POUPANCA;73384.16;18/09/23;ativa;1000.00
CT-00795;CLT-0523;0347;Corrente;32955,83;07/06/2026;Ativa;R$ 5.000,00
CT-00287;CLT-0564;0521;Poupança;43.704,15;2019-08-03;Ativa;10000,00
CT-00426;clt-0748;0521;SALÁRIO;R$ 21407.21;2024-05-10;ATIVA;500,00
CT-00386;CLT-0695;0034;corrente;53413.46;29-05-2017;ativa;R$ 2.500,00
CT-00583;CLT-0054;1200;salário;70.337,88;15/03/2023;Ativa;
CT-00116;CLT-0685;0102;Corrente;R$ 66.809,29;2019-09-14;Encerrada;1.000,00
CT-00308;CLT-0388;1200;Poupança;-2.339,63;19-04-2024;Ativa;10000.00
CT-00036;CLT-0045;0034;CC;13.216,33;21/12/2019;encerrada;R$ 0.00
CT-00546;CLT-0448;0034;Corrente;R$ 34.938,59;20/03/2020;ativa;R$ 0,00
CT-00753;CLT-0026;0102;poupanca;R$ -2312.34;2020-11-15;Ativa;500,00
CT-00713;CLT-0807 ;1200;corrente;84717,36;11-07-2019;ativa;R$ 10000.00
CT-00420;CLT-0334;0102;CC;R$ 66.116,34;24/07/2017;Ativa;R$ 1.000,00
CT-00062;CLT-0807;0001;Corrente;R$ 34.049,22;2024-02-16;Ativa;R$ 2500.00
CT-00143;CLT-0075;0102;POUPANÇA;20.772,36;15-jul-2020;;2.500,00
CT-00495;CLT-0250;1200;CORRENTE;26241.58;28/11/2019;Ativa;2500.00
CT-00500;CLT-0643 ;0102;Poupança;(52.631,86);04-fev-2021;Ativa;R$ 1.000,00
CT-00485;CLT-0234;1200;POUPANÇA;25653,49;29/10/2021;Ativa;R$ 0,00
CT-00709;CLT-0387;0102;salário;R$ 7.590,06;03/06/2017;ATIVA;R$ 0,00
CT-00512;CLT-0016;0034;CORRENTE;-211.18;2024-04-28;ativa;R$ 10.000,00
CT-00007;CLT-0526;0102;Poupança;24.041,50;03-05-2015;Ativa;1.000,00
CT-00242;CLT-0517;0001;Poupança;R$ 54.610,51;20/06/2019;Ativa;R$ 2500.00
CT-00651;CLT-0108;0001;Poupança;-1855.12;2025-12-22;Ativa;2500.00
CT-00738;CLT-0518;0034;corrente;R$ 45306.97;27/06/2021;Ativa;0,00
CT-00030;CLT-0052;1200;CORRENTE;56183,61;09/04/2017;Ativa;1000,00
CT-00366;CLT-0285;0001;poupança;R$ 181.94;02-09-2024;ativa;10.000,00
CT-00194;CLT-0647;0521;poupanca;R$ 11.495,01;26/03/2023;Ativa;0.00
CT-00862;CLT-0077;0102;CORRENTE;71.005,64;05/11/2015;Ativa;N/A
CT-00269;CLT-0463;0001;PP;61.513,39;25-03-2025;Ativa;500.00
CT-00918;clt-0713;0034;corrente;52.243,97;24/04/2019;Ativa;R$ 1.000,00
CT-00136;CLT-0636;0034;Corrente;37771.35;23-04-2015;Ativa;5.000,00
CT-00018;CLT-0519;0102;Corrente;66.629,84;04/08/2019;Ativa;500,00
CT-00057;CLT-0194;0521;Poupança;sem info;16/09/2025;ATIVA;R$ 500,00
CT-00954;CLT-0690;0347;CORRENTE;26968.71;02-01-2019;Ativa;R$ 5.000,00
CT-00272;CLT-0138;0034;poupança;54.948,03;2021-11-02;Encerrada;1.000,00
CT-00049;CLT-0647;0521;CORRENTE;42346.61;2019-12-10;Ativa;0,00
CT-00518;CLT-0807;0102;Poupança;12591.95;2019-05-30;Encerrada;R$ 0,00
CT-00112;CLT-0475;0034;Corrente;R$ 18.677,88;10/12/22;ativa;10.000,00
CT-00590;CLT-0197;0521;CORRENTE;28.925,65;15/03/2019;Bloqueada;R$ 10.000,00
CT-00637;CLT-0555;0347;CORRENTE;13223.73;2018-07-12;Ativa;1000,00
CT-00880;CLT-0801;0102;POUPANÇA;R$ 27410.52;18/09/2023;Ativa;1000.00
CT-00024;CLT-0319;0521;SALÁRIO;sem info;19/09/2023;Ativa;R$ 10000.00
CT-00041;CLT-0700;0001;poupança;R$ 62.181,36;14/06/2016;Ativa;1.000,00
CT-00654;CLT-0407;1200;Poupança;R$ 55.469,14;15-01-2017;encerrada;-
CT-00222;CLT-0123;0034;Poupança;R$ 21.821,42;04/02/2016;ativa;2500,00
CT-00315;CLT-0343;0521;Corrente;R$ 59839.85;16/08/2021;Ativa;500,00
CT-00039;CLT-0086;0521;poupança;68.391,88;25-02-2020;Encerrada;-
CT-00674;CLT-0126;0001;Corrente;43882.30;07/08/2022;;2.500,00
CT-00141;CLT-0733;1200;CORRENTE;56893.64;2023-01-27;ATIVA;R$ 2.500,00
CT-00509;CLT-0574;0347;corrente;63295.10;17-05-2024;ativa;5.000,00
CT-00325;CLT-0614;0347;CORRENTE;R$ 44.513,66;23/04/2020;Encerrada;R$ 0,00
CT-00633;CLT-0552;0001;Corrente;54.195,96;25/04/23;Ativa;R$ 0,00
CT-00348;CLT-0716;0001;SALÁRIO;R$ 49.711,40;2023-08-03;Ativa;1000.00
CT-00807;CLT-0304;1200;corrente;R$ 82063.11;23/03/2023;Ativa;0.00
CT-00162;CLT-0673;1200;Poupança;74957.25;27/02/2018;Ativa;10.000,00
CT-00460;CLT-0681;0347;Corrente;8744.20;20/10/2022;Bloqueada;R$ 0,00
CT-00274;CLT-0597;1200;poupança;R$ 42.612,23;06-mar-2023;ativa;5000.00
CT-00443;CLT-0375;0034;poupança;R$ 18584.84;31-10-2020;Ativa;1.000,00
CT-00467;CLT-0781;1200;Salário;8.184,16;17/11/23;encerrada;R$ 500,00
CT-00778;CLT-0821;0001;CORRENTE;(45.774,73);04/01/2015;ativa;500,00
CT-00532;CLT-0117;1200;Corrente;74.087,20;21-jun-2016;ativa;10.000,00
CT-00463;CLT-0732;0102;Poupança;R$ 25.602,94;01-09-2025;Ativa;R$ 0,00
CT-00516;CLT-0028;1200;poupança;11.548,00;2018-03-16;ATIVA;R$ 5.000,00
CT-00751;clt-0607;0347;CORRENTE;61220.14;11-11-2016;Bloqueada;0,00
CT-00488;CLT-0666;0034;Corrente;R$ 15.775,70;13-11-2021;Ativa;R$ 1.000,00
CT-00539;CLT-0679;0347;PP;R$ 27.032,09;11/03/2026;ATIVA;R$ 0,00
CT-00285;CLT-0186;1200;Poupança;R$ 57.283,62;2025-01-15;ATIVA;2.500,00
CT-00175;CLT-0090;1200;POUPANÇA;sem info;2022-04-18;encerrada;-
CT-00125;CLT-0512;0102;corrente;24300,74;27-03-2025;ativa;R$ 0,00
CT-00340;CLT-0010;0521;SALÁRIO;-;2017-04-04;Ativa;10.000,00
CT-00075;CLT-0534;0347;CORRENTE;38.043,22;02/04/25;Ativa;R$ 1000.00
CT-00493;CLT-0744;0521;CORRENTE;4252.73;27/09/2019;Ativa;0,00
CT-00847;CLT-0727;0034;Corrente;R$ 2.973,29;2018-01-16;bloqueada;R$ 2.500,00
CT-00273;CLT-0688;0034;CORRENTE;68.268,92;19/10/2024;ativa;
CT-00938;CLT-0647;0034;Salário;R$ 14.635,97;2022-11-19;Ativa;0.00
CT-00164;CLT-0701;1200;poupanca;R$ 39.959,06;03/02/2016;Ativa;R$ 0,00
CT-00094;CLT-0561;0001;Salário;41319.98;15/01/2025;Ativa;R$ 5.000,00
CT-00894;CLT-0756;0521;Corrente;27.013,66;19/07/2016;Ativa;5000.00
CT-00252;CLT-0482;1200;c/c;R$ 23.860,35;2020-02-15;Bloqueada;500.00
CT-00283;CLT-0034;0034;Corrente;47.833,53;19/04/2015;Ativa;R$ 500.00
CT-00407;CLT-0190;0001;Poupança;R$ 9.288,97;12/02/2024;Bloqueada;500,00
CT-00688;CLT-0284;0521;Corrente;13.680,64;23/02/2017;;R$ 500.00
CT-00288;CLT-0185;0034;POUPANÇA;R$ 27.971,96;03-01-2020;Ativa;R$ 0,00
CT-00220;CLT-0518;0102;corrente;33188.66;09/09/2023;Ativa;5.000,00
CT-00277;CLT-0489;0347;corrente;17.060,20;2023-02-10;;0,00
CT-00417;CLT-0437;0347;CORRENTE;417.17;28/07/26;ATIVA;2.500,00
CT-00859;CLT-0255;0001;corrente;(9.455,09);2025-04-11;Ativa;sem info
CT-00826;CLT-0425;0521;corrente;R$ 37669.56;03/04/2020;encerrada;5.000,00
CT-00170;CLT-0807;0034;Corrente;R$ 46.260,44;2025-12-19;ativa;R$ 10.000,00
CT-00838;CLT-0584;0001;corrente;R$ 33.746,73;13/04/2025;Ativa;1000.00
CT-00013;clt-0811;0001;Conta Salário;40.446,67;07-05-2021;Ativa;0.00
CT-00204;CLT-0370;0102;Poupança;27487.79;03/04/2026;Ativa;R$ 5.000,00
CT-00439;CLT-0469;1200;Corrente;R$ 50.925,30;06/02/2026;Ativa;10000.00
CT-00031;CLT-0051;0347;salario;R$ 59587.59;05/08/2019;Bloqueada;2500.00
CT-00914;CLT-0746;0521;poupança;R$ 55.726,12;2021-05-18;encerrada;R$ 500,00
CT-00711;CLT-0862;0347;Corrente;66719,52;08/09/15;Ativa;R$ 2.500,00
CT-00867;CLT-0410;0001;poupanca;11.469,29;03/03/2024;Ativa;0,00
CT-00372;CLT-0791;0034;CORRENTE;39.045,35;2018-12-26;bloqueada;R$ 500,00
CT-00870;CLT-0828;0521;Salário;R$ 59724.57;01/01/20;Ativa;1000.00
CT-00028;CLT-0362;0034;corrente;R$ 54.520,12;16/04/24;ATIVA;500,00
CT-00552;CLT-0500;0001;Corrente;21.641,93;2023-09-08;bloqueada;0.00
CT-00744;CLT-0104;0347;poupança;8069.35;2019-01-12;Encerrada;R$ 10.000,00
CT-00878;clt-0314;0102;Poupança;R$ 33.577,91;26-07-2024;encerrada;2.500,00
CT-00320;clt-0011;0347;c/c;57.683,01;2019-09-01;Ativa;1.000,00
CT-00844;CLT-0241;0001;salário;R$ 51.146,31;11-01-2021;encerrada;0,00
CT-00576;CLT-0753;0001;c/c;26.692,95;2020-04-08;bloqueada;R$ 2.500,00
CT-00729;CLT-0252;0347;Corrente;84926,85;04/06/2016;Ativa;10000,00
CT-00158;CLT-0550;0347;corrente;536,34;2019-07-15;Ativa;R$ 500,00
CT-00126;CLT-0744;0034;poupança;10.076,15;11/04/21;Ativa;R$ 500,00
CT-00760;CLT-0091;0102;POUPANCA;54446.17;20/05/15;Ativa;1000.00
CT-00453;CLT-0250;0347;poupança;R$ 82.314,30;01/04/2018;Ativa;0.00
CT-00784;clt-0615;0521;Corrente;58.592,54;12-abr-2016;Ativa;10000,00
CT-00196;CLT-0563;0034;Poupança;(27.922,33);2017-03-11;encerrada;2.500,00
CT-00070;clt-0182;0102;Corrente;R$ 3395.31;2016-12-04;Ativa;R$ 1.000,00
CT-00146;CLT-0590;0102;Corrente;;06-01-2026;encerrada;500,00
CT-00329;CLT-0731;0521;CC;R$ 37.427,60;06/04/2017;ativa;5.000,00
CT-00887;CLT-0161 ;1200;Corrente;R$ 62.429,60;01/11/19;Ativa;5000.00
CT-00161;CLT-0217;0102;Poupança;R$ 41.396,22;30-nov-2023;Ativa;5.000,00
CT-00896;CLT-0222;0034;PP;74.044,19;2024-10-19;Encerrada;500,00
CT-00639;CLT-0826;0102;Corrente;65350.94;2024-12-14;Encerrada;1000.00
CT-00177;CLT-0008;0001;Conta Salário;R$ 32.322,68;18/05/26;Ativa;R$ 2500.00
CT-00367;CLT-0587;0001;corrente;R$ 38.685,75;2016-10-13;Ativa;R$ 0,00
CT-00380;CLT-0468;0034;corrente;73156.44;2024-09-09;Ativa;10.000,00
CT-00540;CLT-0808;0001;Corrente;R$ 41.181,41;2018-10-27;Bloqueada;10.000,00
CT-00097;CLT-0241;0034;Corrente;R$ 60565.77;2020-03-15;ativa;1.000,00
CT-00259;CLT-0398;0347;CC;52403.89;13/01/2020;Ativa;500,00
CT-00603;CLT-0532;1200;poupança;R$ 56442.46;2018-06-12;Ativa;2500,00
CT-00550;CLT-0049;0102;c/c;78619,33;06/10/2017;ativa;2500.00
CT-00804;CLT-0215;0102;corrente;7047.40;13/11/2018;;1000.00
CT-00513;CLT-0457;0034;Corrente;67.933,90;11-mar-2023;Bloqueada;
CT-00668;CLT-0832;0034;corrente;13.968,16;19/08/15;Ativa;R$ 1.000,00
CT-00869;CLT-0043;0034;corrente;R$ 74.611,33;09/09/2020;Bloqueada;2500.00
CT-00776;CLT-0775;0521;poupanca;20374.67;17/08/2021;Ativa;10.000,00
CT-00450;CLT-0339;0001;Corrente;R$ 37182.47;07/07/2017;Ativa;10000,00
CT-00611;CLT-0007;0034;CORRENTE;79.859,66;2024-04-14;encerrada;0.00
CT-00132;CLT-0370;0001;Corrente;R$ 46.527,57;08/02/2023;Ativa;R$ 5.000,00
CT-00226;CLT-0196;0347;Poupança;R$ 83498.92;21-jun-2026;ativa;R$ 10.000,00
CT-00156;CLT-0513;0001;CORRENTE;R$ 26.334,07;2021-06-13;ATIVA;5.000,00
CT-00048;clt-0378;0347;CORRENTE;54202.84;2017-06-25;ativa;500,00
CT-00483;CLT-0228;1200;poupanca;R$ 8.670,22;26/08/2016;Ativa;R$ 500,00
CT-00023;CLT-0319;0102;Salário;68851.65;04/08/2020;ATIVA;R$ 1.000,00
CT-00381;CLT-0455;1200;CC;64.790,98;24/07/2016;Ativa;10000.00
