ID TRANSACAO,id conta,Data/Hora,Tipo Transação,VALOR,Canal,Descrição
TRX000697,CT-00496,10/10/25,DEPOSITO,"152,85",app,RENDIMENTO POUPANCA
TRX000498,CT-00173,23/05/2026 08:50,saque,"-114,98",AGENCIA,IFOOD *IFOOD
TRX000794,CT-00788,10/07/2026 03:27,Saque,"270,58",APP,RENDIMENTO POUPANCA
TRX000743,CT-00812,2026-07-07,TED,R$ 408.06,Aplicativo,UBER *TRIP
TRX000351,CT-00538,13/04/2026,pagto,"R$ 14.781,39",App,FOLHA PAGAMENTO
TRX000114,CT-00531,07/04/26 06:05,DEPOSITO,3395.60,,TARIFA PACOTE SERVICOS
TRX000079,CT-00732,14-12-2025,BOLETO,R$ 150.36,agencia,IFOOD *IFOOD
TRX001420,CT-00116,14/12/2025,DOC,"5.848,44",internet banking,IFOOD *IFOOD
TRX001468,CT-00570,02/12/2025 20:08,boleto,"14746,09",ATM,NETFLIX.COM
TRX000709,CT-00434,03/01/2026,deposito,"R$ 170,80",agencia,POSTO SHELL BR
TRX001479,CT-00053,05/02/2026,Depósito,"787,63",Agência,FOLHA PAGAMENTO
TRX001613,CT-00385,10/08/2026,PIX,R$ 48.26,agencia,AMAZON MKTPLACE
TRX000459,CT-00700,10/05/2026 10:40,debito cartao,"319,34",agencia,TRANSF ENTRE CONTAS
TRX001825,CT-00628,15-jun-2026 04:16,ted,"15,65",internet banking,TRANSF ENTRE CONTAS
TRX001695,CT-00782,13/09/2025 07:45,PIX,"R$ 14,95",Agência,
TRX001250,CT-00730,31/01/26,Saque,248.71,Aplicativo,FOLHA PAGAMENTO
TRX000873,CT-00481,08/02/26,PIX,"-120,13",internet banking,PIX QR CODE
TRX001321,CT-00493,28-abr-2026 14:07,DOC,-3807.56,AGENCIA,FOLHA PAGAMENTO
TRX000974,CT-00344,2025-12-21 20:21,DEPOSITO,"R$ 201,82",App,TARIFA PACOTE SERVICOS
TRX000424,CT-00558,2025-12-21,BOLETO,504.92,ATM,SUPERMERCADO BOM PRECO
TRX001837,CT-00858,15-03-2026,pix,"-29.548,00",Internet Banking,RENDIMENTO POUPANCA
TRX000871,CT-00571,2026-04-22,PIX,"223,02",app,NETFLIX.COM
TRX000287,CT-00575,15-ago-2025,boleto,67.57,app,PAG*MercadoLivre
TRX001795,CT-00183,08-09-2025 07:46,debito cartao,"254,60",APP,IFOOD *IFOOD
TRX000244,CT-00720,13/11/2025,pix,"-262,29",app,TRANSF ENTRE CONTAS
TRX001540,CT-00285,2026-01-19,saque,97.93,AGENCIA,PAG*MercadoLivre
TRX001665,CT-00752,2026-01-11,ted,"R$ 122,09",app,SUPERMERCADO BOM PRECO
TRX001409,CT-00286,12/06/2026,DEPOSITO,"128,39",Agência,
TRX000532,CT-00043,27/04/2026 21:19,debito cartao,"1.725,97",app,PIX QR CODE
TRX000852,CT-00101,19/01/2026 21:05,Compra Débito,"R$ 274,26",app,UBER *TRIP
TRX000201,CT-00194,05/02/26,Pagamento,"R$ 646,20",app,PIX QR CODE
TRX001782,CT-00752,23-11-2025,Boleto,1166.49,app,SUPERMERCADO BOM PRECO
TRX000874,CT-00462,2025-08-11 08:42,pagto,"R$ 700,53",Agência,PAG*MercadoLivre
TRX000824,CT-00829,2026-03-02 04:10,BOLETO,21293.06,Aplicativo,PIX QR CODE
TRX001032,CT-00130,2025-08-20,ted,R$ 262.10,Agência,POSTO SHELL BR
TRX001704,CT-00892,21/05/2026,pix,"R$ 29,47",Agência,FARMACIA SAO JOAO
TRX001857,CT-00934,2025-10-13 18:19,Pix,"-248,97",app,
TRX000803,CT-00093,17-09-2025 17:24,Depósito,9324.62,Agência,PIX QR CODE
TRX002012,CT-00366,21/09/2025,pagto,"R$ 210,63",APP,FOLHA PAGAMENTO
TRX001990,CT-00042,07/12/2025 17:55,Débito Cartão,"42,73",caixa eletronico,
TRX001536,CT-00018,12/06/2026 15:13,PIX,"R$ 1.390,14",IB,AMAZON MKTPLACE
TRX000085,CT-00407,10/09/2025,PIX,"-26,60",APP,RENDIMENTO POUPANCA
TRX002007,CT-00588,11/06/26,Débito Cartão,"R$ 11.357,75",App,FARMACIA SAO JOAO
TRX000222,CT-00119,2025-12-02 08:45,pix,"-98,50",app,TARIFA PACOTE SERVICOS
TRX000583,CT-00772,16/11/25,ted,"66,88",ATM,PIX QR CODE
TRX001049,CT-00947,27/08/2025 00:32,Compra Débito,"263,18",IB,POSTO SHELL BR
TRX000683,CT-00248,13/09/25,DEPOSITO,"1.997,66",Caixa Eletrônico,TARIFA PACOTE SERVICOS
TRX000741,CT-00543,04/09/2025,Pix,"553,61",Internet Banking,RENDIMENTO POUPANCA
TRX000416,CT-00707,13-06-2026 00:03,deposito,"291,60",app,PIX QR CODE
TRX000837,CT-00106,2025-09-26,PIX,"-120,94",caixa eletronico,POSTO SHELL BR
TRX001516,CT-00554,09-03-2026,boleto,"901,43",,FARMACIA SAO JOAO
TRX000130,CT-00383,31-jul-2026,Saque,"-4.898,42",AGENCIA,AMAZON MKTPLACE
TRX000822,CT-00270,21/12/2025,Compra Débito,-340.73,APP,SUPERMERCADO BOM PRECO
TRX001752,CT-00600,2025-10-19,PIX,"178,04",,UBER *TRIP
TRX001801,CT-00440,2026-02-25,pix,"296,65",agencia,PIX QR CODE
TRX001460,CT-00430,15/11/2025 02:31,saque,-165.35,App,
TRX001217,CT-00138,2026-01-02,Débito Cartão,-94.19,internet banking,TARIFA PACOTE SERVICOS
TRX000342,CT-00082,07/08/26,DOC,1695.63,Internet Banking,  PADARIA DO ZE  
TRX001085,CT-00805,18-03-2026,Débito Cartão,"R$ 2.204,28",IB,SUPERMERCADO BOM PRECO
TRX000080,CT-00121,2025-10-29,DOC,-77.31,ATM,TRANSF ENTRE CONTAS
TRX001094,CT-01028,2025-11-03,Depósito,"R$ 13.260,04",IB,UBER *TRIP
TRX001720,CT-00235,14-08-2025 04:59,DEPOSITO,"172,88",IB,POSTO SHELL BR
TRX002057,CT-00188,2025-08-03,Boleto,"114,46",Agência,TRANSF ENTRE CONTAS
TRX000340,CT-00232,12/12/2025,Pix,"R$ 88,92",APP,FOLHA PAGAMENTO
TRX000838,CT-00140,21/04/2026,Saque,"R$ 262,31",App,AMAZON MKTPLACE
TRX001626,CT-00793,13/08/2025,Pagamento,"984,54",Agência,SUPERMERCADO BOM PRECO
TRX001040,CT-00766,15/02/2026,ted,"114,21",Aplicativo,SUPERMERCADO BOM PRECO
TRX000266,CT-00822,2026-05-12,ted,"8.851,38",internet banking,SUPERMERCADO BOM PRECO
TRX000916,CT-00243,08/02/2026,saque,-282.55,IB,FARMACIA SAO JOAO
TRX000095,CT-00721,02/12/25,DOC,"R$ 187,88",App,PAG*MercadoLivre
TRX000763,CT-00811,02/04/2026 00:02,saque,"194,74",Aplicativo,FARMACIA SAO JOAO
TRX001659,CT-00020,13-04-2026,Compra Débito,"R$ 121,00",app,IFOOD *IFOOD
TRX000702,CT-00681,07/06/2026 13:55,Compra Débito,"R$ 573,20",Caixa Eletrônico,TARIFA PACOTE SERVICOS
TRX001500,CT-00502,25/02/2026,deposito,"R$ 41,19",AGENCIA,SUPERMERCADO BOM PRECO
TRX000374,CT-00330,21-12-2025 18:23,Saque,58.84,agencia,
TRX000139,CT-00444,13/07/26 05:04,Compra Débito,234.77,IB,TARIFA PACOTE SERVICOS
TRX000212,CT-00898,21-mar-2026,Pagamento,"R$ 264,23",caixa eletronico,IFOOD *IFOOD
TRX001930,CT-00247,21-09-2025 00:39,Compra Débito,"-6.649,34",IB,FARMACIA SAO JOAO
TRX000988,CT-00710,15-ago-2026,DOC,"R$ 241,52",Agência,AMAZON MKTPLACE
TRX000024,CT-00502,28/10/2025 16:09,pix,-1612.20,app,
TRX001036,CT-00564,26/03/2026 02:22,Boleto,"R$ 178,93",,NETFLIX.COM
TRX001494,CT-00262,2025-08-29,Saque,R$ 287.48,Caixa Eletrônico,TARIFA PACOTE SERVICOS
TRX000568,CT-00100,09/07/2026,deposito,"58.105,68",Internet Banking,RENDIMENTO POUPANCA
TRX000185,CT-00354,23-05-2026 23:11,Compra Débito,"R$ 132,14",Aplicativo,  PADARIA DO ZE  
TRX001797,CT-00599,06/08/2025 20:23,Débito Cartão,"619,98",AGENCIA,SUPERMERCADO BOM PRECO
TRX000293,CT-00537,2026-02-26,debito cartao,R$ 163.38,internet banking,RENDIMENTO POUPANCA
TRX000753,CT-00562,29/01/2026 19:54,DEPOSITO,"R$ 540,92",app,FOLHA PAGAMENTO
TRX000870,CT-00365,2026-01-26,TED,"-7.592,23",,IFOOD *IFOOD
TRX000038,CT-00150,27/08/25 07:38,debito cartao,0,IB,FOLHA PAGAMENTO
TRX001420,CT-00116,14/12/2025,DOC,"5.848,44",internet banking,IFOOD *IFOOD
TRX001288,CT-00695,2026-04-16 03:25,BOLETO,75156.79,APP,AMAZON MKTPLACE
TRX000077,CT-00287,2026-01-01 22:37,debito cartao,-1803.51,AGENCIA,NETFLIX.COM
TRX001227,CT-00426,21/06/26 05:54,saque,R$ 9908.32,AGENCIA,POSTO SHELL BR
TRX001970,CT-00513,30-04-2026 07:52,Débito Cartão,26.03,Internet Banking,NETFLIX.COM
TRX001310,CT-00696,27/05/26,saque,"647,62",agencia,TARIFA PACOTE SERVICOS
TRX000508,CT-00520,05/01/2026,boleto,"202,60",caixa eletronico,AMAZON MKTPLACE
TRX001663,CT-00552,02/09/2025 20:00,Pagamento,"128,33",APP,RENDIMENTO POUPANCA
TRX001767,CT-00997,28/11/2025,Saque,"R$ 1.291,73",Caixa Eletrônico,NETFLIX.COM
TRX001284,CT-00706,30/06/2026,Pix,"-505,17",APP,PAG*MercadoLivre
TRX001206,CT-00817,05-jan-2026 21:26,boleto,"R$ 661,82",ATM,IFOOD *IFOOD
TRX001450,CT-00134,2026-03-20,DOC,"1.978,69",Internet Banking,RENDIMENTO POUPANCA
TRX001066,CT-00200,2025-09-25 11:07,TED,R$ 1301.34,Agência,UBER *TRIP
TRX001641,CT-00741,27-jan-2026 00:47,Débito Cartão,"-1.522,34",Internet Banking,UBER *TRIP
TRX001673,CT-00324,09/07/2026,pix,"8,66",Aplicativo,IFOOD *IFOOD
TRX001019,CT-00349,03/03/2026,saque,"R$ 1.548,55",AGENCIA,AMAZON MKTPLACE
TRX002017,CT-00182,16/01/2026 09:59,pagto,"657,73",Agência,TRANSF ENTRE CONTAS
TRX000074,CT-00161,26/04/2026,ted,"4036,86",agencia,TARIFA PACOTE SERVICOS
TRX001277,CT-00122,05/08/2025,saque,-219.01,app,RENDIMENTO POUPANCA
TRX002001,CT-00116,02/08/2026 00:10,boleto,N/A,caixa eletronico,UBER *TRIP
TRX001282,CT-00501,2025-10-10,boleto,"R$ 472,30",Aplicativo,RENDIMENTO POUPANCA
TRX001446,CT-00070,2025-10-28,PIX,188.99,IB,UBER *TRIP
TRX000473,CT-00590,03-04-2026 10:45,Pagamento,"R$ 10.793,00",agencia,  PADARIA DO ZE  
TRX002083,CT-00732,05-12-2025 04:19,pagto,"-28,60",app,NETFLIX.COM
TRX000560,CT-00555,01/01/2026,DEPOSITO,"R$ 66,65",App,TARIFA PACOTE SERVICOS
TRX001634,CT-00780,01/09/2025,Depósito,"1.776,32",Agência,
TRX001836,CT-00625,2025-11-01,deposito,"R$ 12.973,49",app,PIX QR CODE
TRX002073,CT-00209,2026-07-07,debito cartao,R$ 138.47,Caixa Eletrônico,TRANSF ENTRE CONTAS
TRX002097,CT-00600,03/08/2026 16:08,DOC,459.70,Internet Banking,TRANSF ENTRE CONTAS
TRX000068,CT-00410,19/11/2025,Débito Cartão,0,caixa eletronico,  PADARIA DO ZE  
TRX002047,CT-00834,04/10/25,Saque,"-939,07",AGENCIA,NETFLIX.COM
TRX001661,CT-00513,19-fev-2026,TED,110.23,ATM,AMAZON MKTPLACE
TRX001690,CT-00153,09/11/2025 22:56,ted,"R$ 100,69",App,UBER *TRIP
TRX001268,CT-00855,15/08/25,Depósito,R$ 26861.18,Aplicativo,PAG*MercadoLivre
TRX001504,CT-00919,10/08/2026,debito cartao,"-9.367,92",IB,TARIFA PACOTE SERVICOS
TRX000793,CT-00686,29/10/2025,TED,"176,74",app,  PADARIA DO ZE  
TRX000320,CT-00361,03/03/2026,pagto,N/A,internet banking,FOLHA PAGAMENTO
TRX001207,CT-00029,07-09-2025,BOLETO,"R$ 30,66",AGENCIA,PIX QR CODE
TRX001688,CT-00001,2026-06-01 10:03,Pix,R$ 1321.29,Caixa Eletrônico,POSTO SHELL BR
TRX000253,CT-00180,2025-11-16 13:14,Depósito,127.25,agencia,IFOOD *IFOOD
TRX000227,CT-00016,18/11/2025 04:42,saque,"R$ 6.653,33",,POSTO SHELL BR
TRX000177,CT-01000,10/05/2026,ted,"118,83",App,FARMACIA SAO JOAO
TRX000825,CT-00409,25-07-2026 12:23,Débito Cartão,291.29,,AMAZON MKTPLACE
TRX001222,CT-00296,23-08-2025,pix,"60295,61",App,FARMACIA SAO JOAO
TRX001033,CT-00903,08-fev-2026,pix,"-194,62",Internet Banking,  PADARIA DO ZE  
TRX001506,CT-00665,25-jan-2026 17:32,pix,"R$ 30,60",,RENDIMENTO POUPANCA
TRX000184,CT-00165,04/07/2026,Depósito,"R$ 4.833,00",APP,RENDIMENTO POUPANCA
TRX001084,CT-00959,2026-07-14,debito cartao,257.57,internet banking,NETFLIX.COM
TRX000837,CT-00106,2025-09-26,PIX,"-120,94",caixa eletronico,POSTO SHELL BR
TRX000052,CT-00956,2026-07-27 07:51,Saque,"56,45",APP,NETFLIX.COM
TRX000882,CT-00225,25/02/2026,DEPOSITO,"8.132,38",IB,SUPERMERCADO BOM PRECO
TRX001037,CT-00899,28/12/2025,debito cartao,"R$ 57,16",AGENCIA,FOLHA PAGAMENTO
TRX001354,CT-00690,2026-04-10 23:41,PIX,R$ 22779.87,ATM,SUPERMERCADO BOM PRECO
TRX000656,CT-00542,2025-09-28 15:04,PIX,"2.508,19",App,SUPERMERCADO BOM PRECO
TRX001102,CT-00038,12/10/2025,deposito,"R$ 1.964,99",Internet Banking,RENDIMENTO POUPANCA
TRX001541,CT-00363,02-03-2026 04:00,boleto,"-27.356,94",agencia,TRANSF ENTRE CONTAS
TRX000889,CT-00363,06/08/25 16:34,Pix,"270,03",caixa eletronico,FOLHA PAGAMENTO
TRX000748,CT-00708,12/06/2026 08:50,DEPOSITO,"116,14",internet banking,AMAZON MKTPLACE
TRX001788,CT-00174,04-09-2025,Depósito,"1.575,07",agencia,PIX QR CODE
TRX002036,CT-00952,2025-11-25,DEPOSITO,"252,61",App,NETFLIX.COM
TRX000708,CT-00599,25/05/26,Saque,94.91,Agência,TRANSF ENTRE CONTAS
TRX000250,CT-00586,13/05/26,Débito Cartão,"-5669,73",app,FARMACIA SAO JOAO
TRX000259,CT-00993,2025-09-10,Compra Débito,"-144,92",app,SUPERMERCADO BOM PRECO
TRX000515,CT-00303,22/03/2026,pagto,R$ 280.48,app,IFOOD *IFOOD
TRX001298,CT-00678,18/08/25,debito cartao,190.32,caixa eletronico,POSTO SHELL BR
TRX001186,CT-00370,17-ago-2025,ted,"-4199,88",caixa eletronico,UBER *TRIP
TRX000176,CT-00648,23/10/2025,Pagamento,R$ 279.88,ATM,  PADARIA DO ZE  
TRX000729,CT-00085,02/04/2026 17:28,Pagamento,"R$ 182,22",AGENCIA,POSTO SHELL BR
TRX000872,CT-00466,2026-06-17 10:11,PIX,-6336.44,app,FOLHA PAGAMENTO
TRX001952,CT-00251,14/01/26,Débito Cartão,"15,90",agencia,TRANSF ENTRE CONTAS
TRX001907,CT-00558,2025-10-26 05:15,PIX,"198,82",IB,UBER *TRIP
TRX001833,CT-00004,25-05-2026 09:03,saque,"R$ 1.930,68",ATM,UBER *TRIP
TRX002018,CT-00974,04/12/25 21:18,TED,"R$ 270,08",Caixa Eletrônico,
TRX000509,CT-00373,2026-06-16 01:52,deposito,"49,35",agencia,PIX QR CODE
TRX001467,CT-00723,27/09/2025,Depósito,R$ 298.50,caixa eletronico,RENDIMENTO POUPANCA
TRX001451,CT-00054,2025-12-04,saque,29.51,caixa eletronico,UBER *TRIP
TRX000082,CT-00664,16/05/2026,Saque,"1.816,79",Aplicativo,FOLHA PAGAMENTO
TRX001986,CT-00234,05/08/2026 14:01,boleto,226.43,APP,TRANSF ENTRE CONTAS
TRX002031,CT-00024,2025-10-01,BOLETO,"1.331,78",internet banking,
TRX001473,CT-00133,20/03/2026 22:11,DOC,,agencia,POSTO SHELL BR
TRX000644,CT-00523,2026-06-25 15:30,ted,-73.27,,RENDIMENTO POUPANCA
TRX001818,CT-00526,2025-10-27,Depósito,"14.609,50",AGENCIA,PAG*MercadoLivre
TRX000861,CT-00570,2026-07-06,ted,"-57,17",caixa eletronico,PIX QR CODE
TRX000078,CT-00460,2026-06-09,DEPOSITO,"R$ 228,50",Caixa Eletrônico,PAG*MercadoLivre
TRX001691,CT-00224,2026-01-23 09:12,deposito,"R$ 166,98",AGENCIA,UBER *TRIP
TRX001702,CT-00605,2025-10-31 20:25,Saque,"-178,16",Internet Banking,TRANSF ENTRE CONTAS
TRX001861,CT-00906,29/08/2025 13:23,Pagamento,"1.355,51",,  PADARIA DO ZE  
TRX001449,CT-00243,07/08/2026,deposito,R$ 116.10,App,FOLHA PAGAMENTO
TRX000779,CT-00283,19/10/25 08:22,pagto,"57,34",Agência,  PADARIA DO ZE  
TRX001489,CT-00737,29/04/2026,boleto,"1.503,85",Internet Banking,
TRX000002,CT-00121,2025-10-30,Saque,"272,30",AGENCIA,
TRX001150,CT-00669,2025-08-20 07:30,DEPOSITO,0,Aplicativo,
TRX001855,CT-00227,27-01-2026 01:33,PIX,0,ATM,PIX QR CODE
TRX000144,CT-00880,26/12/2025,PIX,"R$ 89,65",APP,TRANSF ENTRE CONTAS
TRX000675,CT-01024,14/11/2025 14:28,saque,"R$ 8.930,87",App,POSTO SHELL BR
TRX000842,CT-00985,15/08/2026,saque,"297,21",Agência,UBER *TRIP
TRX001806,CT-00430,2026-07-30,pagto,N/A,caixa eletronico,
TRX000502,CT-00551,2026-07-06 16:40,pagto,"-71,06",AGENCIA,TRANSF ENTRE CONTAS
TRX000679,CT-00399,08/08/25,debito cartao,"2045,92",agencia,UBER *TRIP
TRX000168,CT-00393,2026-08-09,DEPOSITO,0,internet banking,TARIFA PACOTE SERVICOS
TRX000721,CT-00742,03/10/2025 03:09,Pagamento,"66.428,64",Aplicativo,PAG*MercadoLivre
TRX000376,CT-00731,2025-12-25 09:33,Débito Cartão,"R$ 5,16",Agência,TARIFA PACOTE SERVICOS
TRX001844,CT-00440,2026-06-24 16:53,Saque,"1.016,74",IB,FOLHA PAGAMENTO
TRX000706,CT-00379,15/06/2026 09:47,Pix,"1.138,76",Caixa Eletrônico,IFOOD *IFOOD
TRX001831,CT-00600,05/04/2026 21:14,debito cartao,,internet banking,AMAZON MKTPLACE
TRX001289,CT-00028,2026-07-10 22:07,Pix,"-21.733,61",App,FARMACIA SAO JOAO
TRX001522,CT-00191,19/06/2026,boleto,"R$ 1.971,34",internet banking,NETFLIX.COM
TRX000562,CT-00955,2026-03-06,debito cartao,"-1.802,53",Caixa Eletrônico,FARMACIA SAO JOAO
TRX001332,CT-00125,2026-05-14,saque,R$ 212.10,App,TRANSF ENTRE CONTAS
TRX001654,CT-00776,09/10/2025 00:55,PIX,"-47,92",Aplicativo,TARIFA PACOTE SERVICOS
TRX000539,CT-00793,26/02/2026 10:01,Compra Débito,"R$ 6.055,53",agencia,NETFLIX.COM
TRX001088,CT-00720,09/06/2026,Depósito,"6.619,72",internet banking,PIX QR CODE
TRX000875,CT-00709,2026-01-16 08:40,Saque,"R$ 144,46",App,  PADARIA DO ZE  
TRX001954,CT-00226,31/03/2026 02:09,DEPOSITO,106.74,Internet Banking,UBER *TRIP
TRX000183,CT-00817,2026-01-06 20:25,deposito,"R$ 44,17",APP,SUPERMERCADO BOM PRECO
TRX000610,CT-01018,21-11-2025,TED,"1.639,96",Internet Banking,  PADARIA DO ZE  
TRX001280,CT-00170,2026-06-10,Boleto,0,Caixa Eletrônico,POSTO SHELL BR
TRX000269,CT-00642,02/11/2025,pagto,"160,31",app,POSTO SHELL BR
TRX000704,CT-00071,23/12/2025 20:09,Saque,"R$ 1.248,13",AGENCIA,IFOOD *IFOOD
TRX000849,CT-00436,08/03/26 14:22,Boleto,"R$ 272,72",APP,FOLHA PAGAMENTO
TRX000966,CT-00589,08/08/2025,ted,"-2.789,60",AGENCIA,AMAZON MKTPLACE
TRX001320,CT-00308,14/03/26,ted,"1.726,47",Caixa Eletrônico,FARMACIA SAO JOAO
TRX001732,CT-00413,2026-03-14,DOC,"373,49",APP,
TRX000945,CT-00192,2026-05-18,debito cartao,"1.213,72",internet banking,TARIFA PACOTE SERVICOS
TRX001517,CT-00367,15/09/2025 11:58,pix,"7,43",App,PAG*MercadoLivre
TRX000591,CT-00731,19/07/2026 05:14,pix,"204,58",app,FARMACIA SAO JOAO
TRX000190,CT-00666,11/08/2025 19:06,boleto,R$ 201.91,Agência,NETFLIX.COM
TRX000538,CT-00637,19/04/26,boleto,415.32,APP,
TRX000166,CT-00827,29/04/2026 04:34,deposito,153.23,Internet Banking,
TRX000122,CT-00636,29/11/25 12:28,pix,"283,57",,RENDIMENTO POUPANCA
TRX002060,CT-00670,07/11/25,Saque,"1202,82",APP,IFOOD *IFOOD
TRX002030,CT-00871,11-set-2025 08:29,TED,"5.857,92",caixa eletronico,POSTO SHELL BR
TRX000453,CT-00877,18/03/2026 22:18,pagto,"235,00",app,POSTO SHELL BR
TRX000621,CT-00100,09/04/2026,saque,"436,31",app,
TRX000066,CT-00606,2026-06-13,pix,R$ 83.52,AGENCIA,AMAZON MKTPLACE
TRX001430,CT-00267,14/07/2026,ted,R$ 10512.54,caixa eletronico,FOLHA PAGAMENTO
TRX001725,CT-00647,13-mar-2026 17:05,deposito,932.41,Aplicativo,FOLHA PAGAMENTO
TRX002039,CT-00711,12/08/2025 08:45,ted,"-111,71",App,FARMACIA SAO JOAO
TRX000921,CT-00022,2026-04-17,DEPOSITO,1759.31,Agência,TRANSF ENTRE CONTAS
TRX001138,CT-00128,24-jul-2026 22:06,Pagamento,R$ 148.36,AGENCIA,TARIFA PACOTE SERVICOS
TRX000667,CT-00635,2026-06-11,saque,"359,29",app,FOLHA PAGAMENTO
TRX001851,CT-00884,01/09/2025 06:48,pix,"252,64",APP,UBER *TRIP
TRX000888,CT-00690,14/09/2025 23:43,Pix,-3740.35,Caixa Eletrônico,  PADARIA DO ZE  
TRX000643,CT-00639,10/12/2025,PIX,"115,67",APP,FARMACIA SAO JOAO
TRX000435,CT-00418,08/05/2026 22:26,deposito,"R$ 2.593,16",Internet Banking,SUPERMERCADO BOM PRECO
TRX000425,CT-00538,2025-09-30 19:47,Saque,"R$ 1.430,25",IB,UBER *TRIP
TRX001932,CT-00341,04/08/2025,deposito,"67,78",IB,UBER *TRIP
TRX001499,CT-00689,29/09/2025,pagto,R$ 1841.67,,  PADARIA DO ZE  
TRX001548,CT-00118,2025-10-20,TED,"115,19",Agência,  PADARIA DO ZE  
TRX000956,CT-01009,31/07/26,ted,"-85,87",IB,POSTO SHELL BR
TRX000476,CT-00182,2026-07-06,ted,"R$ 526,40",Aplicativo,AMAZON MKTPLACE
TRX001488,CT-00486,17-11-2025,Pagamento,"1.561,13",AGENCIA,IFOOD *IFOOD
TRX000058,CT-00626,28-jan-2026,Compra Débito,"292,84",Aplicativo,NETFLIX.COM
TRX001899,CT-00957,13/11/2025 04:46,Débito Cartão,N/A,Internet Banking,IFOOD *IFOOD
TRX000511,CT-00206,01/07/2026,Compra Débito,-705.88,Caixa Eletrônico,PIX QR CODE
TRX001668,CT-00305,21/02/2026 10:11,deposito,"R$ 218,46",app,TARIFA PACOTE SERVICOS
